"","player_id","player_name","player_last_team_id","player_last_team_abbreviation","age","gp","g","fga_frequency","fgm","fga","fg_pct","efg_pct","fg2a_frequency","fg2m","fg2a","fg2_pct","fg3a_frequency","fg3m","fg3a","fg3_pct"
"1285","0.423","0","0","0","203100","Tony Wroten","1610612755","PHI","22","30","23","0.121","22","52","0.423","0.423","0.121","22","52","0.423"
"1286","0","0","0","201939","Stephen Curry","1610612744","GSW","27","80","39","0.039","26","51","0.51","0.51","0.036","26","48","0.542","0.002"
"1287","0","3","0","203093","Terrence Jones","1610612745","HOU","23","33","24","0.172","25","51","0.49","0.49","0.172","25","51","0.49","0"
"1288","0","0","203482","Kelly Olynyk","1610612738","BOS","24","64","33","0.099","23","51","0.451","0.451","0.099","23","51","0.451","0","0"
"1289","0","203469","Cody Zeller","1610612766","CHA","22","62","36","0.137","19","51","0.373","0.373","0.137","19","51","0.373","0","0","0"
"1290","201577","Robin Lopez","1610612757","POR","27","59","34","0.115","28","50","0.56","0.56","0.115","28","50","0.56","0","0","0","201956"
"1291","Omri Casspi","1610612758","SAC","27","67","36","0.119","20","50","0.4","0.4","0.119","20","50","0.4","0","0","0","201569","Eric Gordon"
"1292","1610612740","NOP","26","61","34","0.072","18","50","0.36","0.36","0.072","18","50","0.36","0","0","0","203078","Bradley Beal","1610612764"
"1293","WAS","22","63","30","0.059","13","50","0.26","0.26","0.059","13","50","0.26","0","0","0","2199","Tyson Chandler","1610612742","DAL"
"1294","32","75","37","0.113","26","49","0.531","0.531","0.113","26","49","0.531","0","0","0","2546","Carmelo Anthony","1610612752","NYK","31"
"1295","39","28","0.062","25","49","0.51","0.51","0.062","25","49","0.51","0","0","0","202711","Bojan Bogdanovic","1610612751","BKN","26","78"
"1296","30","0.085","28","48","0.583","0.594","0.082","27","46","0.587","0.004","1","2","0.5","201583","Ryan Anderson","1610612740","NOP","27","61"
"1297","33","0.066","20","48","0.417","0.417","0.065","20","47","0.426","0.001","0","1","0","201147","Corey Brewer","1610612745","HOU","29","79"
"1298","37","0.06","19","47","0.404","0.404","0.06","19","47","0.404","0","0","0","201564","O.J. Mayo","1610612749","MIL","27","70","35"
"1299","0.069","17","47","0.362","0.362","0.057","17","39","0.436","0.012","0","8","0","201171","Carl Landry","1610612758","SAC","31","70","32"
"1300","0.126","25","46","0.543","0.543","0.126","25","46","0.543","0","0","0","201578","Marreese Speights","1610612744","GSW","27","76","35","0.072"
"1301","23","46","0.5","0.5","0.072","23","46","0.5","0","0","0","203496","Robert Covington","1610612755","PHI","24","70","29","0.062","18"
"1302","46","0.391","0.402","0.059","17","44","0.386","0.003","1","2","0.5","202709","Cory Joseph","1610612759","SAS","23","79","32","0.11","22"
"1303","45","0.489","0.489","0.11","22","45","0.489","0","0","0","202339","Eric Bledsoe","1610612756","PHX","25","81","34","0.043","21","45"
"1304","0.467","0.467","0.042","21","44","0.477","0.001","0","1","0","2547","Chris Bosh","1610612748","MIA","31","44","32","0.06","19","45"
"1305","0.422","0.433","0.059","18","44","0.409","0.001","1","1","1","201585","Kosta Koufos","1610612763","MEM","26","81","37","0.124","24","44"
"1306","0.545","0.545","0.124","24","44","0.545","0","0","0","1718","Paul Pierce","1610612764","WAS","37","73","34","0.067","23","44","0.523"
"1307","0.523","0.061","23","40","0.575","0.006","0","4","0","202322","John Wall","1610612764","WAS","24","79","36","0.038","20","44","0.455"
"1308","0.455","0.037","20","43","0.465","0.001","0","1","0","201599","DeAndre Jordan","1610612746","LAC","26","82","32","0.082","30","43","0.698"
"1309","0.698","0.082","30","43","0.698","0","0","0","203110","Draymond Green","1610612744","GSW","25","79","32","0.057","25","43","0.581","0.581"
"1310","0.057","25","43","0.581","0","0","0","2757","Beno Udrih","1610612763","MEM","32","79","31","0.086","21","43","0.488","0.488","0.086"
"1311","21","43","0.488","0","0","0","201588","George Hill","1610612754","IND","29","43","29","0.081","17","43","0.395","0.407","0.079","16"
"1312","42","0.381","0.002","1","1","1","203095","Evan Fournier","1610612753","ORL","22","58","28","0.075","11","43","0.256","0.256","0.075","11"
"1313","43","0.256","0","0","0","201960","DeMarre Carroll","1610612737","ATL","28","70","31","0.065","16","42","0.381","0.393","0.064","15","41"
"1314","0.366","0.002","1","1","1","203497","Rudy Gobert","1610612762","UTA","23","82","33","0.097","22","41","0.537","0.537","0.097","22","41"
"1315","0.537","0","0","0","201574","Jason Thompson","1610612758","SAC","28","81","31","0.096","22","41","0.537","0.537","0.096","22","41","0.537"
"1316","0","0","0","202391","Jeremy Lin","1610612747","LAL","26","74","31","0.063","20","41","0.488","0.5","0.06","19","39","0.487","0.003"
"1317","1","2","0.5","203458","Alex Len","1610612756","PHX","22","69","28","0.119","20","41","0.488","0.488","0.119","20","41","0.488","0"
"1318","0","0","202332","Cole Aldrich","1610612752","NYK","26","60","27","0.139","18","41","0.439","0.439","0.139","18","41","0.439","0","0"
"1319","0","101123","Gerald Green","1610612756","PHX","29","74","27","0.053","13","41","0.317","0.317","0.044","13","34","0.382","0.009","0","7"
"1320","0","202083","Wesley Matthews","1610612757","POR","28","60","29","0.053","19","40","0.475","0.475","0.053","19","40","0.475","0","0","0"
"1321","202694","Marcus Morris","1610612756","PHX","25","81","30","0.053","15","40","0.375","0.388","0.047","14","36","0.389","0.005","1","4","0.25"
"1322","1889","Andre Miller","1610612758","SAC","39","81","34","0.135","21","39","0.538","0.538","0.135","21","39","0.538","0","0","0","201975"
"1323","Jodie Meeks","1610612765","DET","27","60","29","0.073","15","39","0.385","0.385","0.071","15","38","0.395","0.002","0","1","0","101133"
"1324","Ian Mahinmi","1610612754","IND","28","61","29","0.18","26","38","0.684","0.684","0.18","26","38","0.684","0","0","0","203089","John Henson"
"1325","1610612749","MIL","24","66","28","0.113","24","38","0.632","0.632","0.113","24","38","0.632","0","0","0","201586","Serge Ibaka","1610612760"
"1326","OKC","25","64","28","0.049","19","38","0.5","0.5","0.049","19","38","0.5","0","0","0","202703","Nikola Mirotic","1610612741","CHI"
"1327","24","82","27","0.062","19","38","0.5","0.513","0.057","18","35","0.514","0.005","1","3","0.333","202349","Greivis Vasquez","1610612761","TOR"
"1328","28","82","31","0.052","17","38","0.447","0.447","0.052","17","38","0.447","0","0","0","202498","Lance Thomas","1610612752","NYK","27"
"1329","61","25","0.095","16","38","0.421","0.421","0.095","16","38","0.421","0","0","0","203903","Jordan Clarkson","1610612747","LAL","23","59"
"1330","23","0.064","13","38","0.342","0.342","0.064","13","38","0.342","0","0","0","201196","Ramon Sessions","1610612764","WAS","29","64","29"
"1331","0.115","12","38","0.316","0.316","0.115","12","38","0.316","0","0","0","203924","Jerami Grant","1610612755","PHI","21","65","30","0.11"
"1332","7","38","0.184","0.184","0.107","7","37","0.189","0.003","0","1","0","101187","Alan Anderson","1610612751","BKN","32","74","28","0.086"
"1333","21","37","0.568","0.608","0.074","18","32","0.563","0.012","3","5","0.6","203138","Hollis Thompson","1610612755","PHI","24","71","25","0.07"
"1334","18","37","0.486","0.5","0.064","17","34","0.5","0.006","1","3","0.333","202344","Trevor Booker","1610612762","UTA","27","79","28","0.08"
"1335","16","37","0.432","0.432","0.08","16","37","0.432","0","0","0","101127","Jarrett Jack","1610612751","BKN","31","80","28","0.046","14"
"1336","37","0.378","0.378","0.046","14","37","0.378","0","0","0","203114","Khris Middleton","1610612749","MIL","23","78","31","0.043","14","37"
"1337","0.378","0.378","0.042","14","36","0.389","0.001","0","1","0","203909","KJ McDaniels","1610612745","HOU","22","62","23","0.087","14","37"
"1338","0.378","0.378","0.087","14","37","0.378","0","0","0","203463","Ben McLemore","1610612758","SAC","22","82","29","0.045","14","37","0.378"
"1339","0.378","0.042","14","35","0.4","0.002","0","2","0","202397","Ish Smith","1610612755","PHI","26","55","23","0.1","16","36","0.444"
"1340","0.444","0.1","16","36","0.444","0","0","0","2733","Shaun Livingston","1610612744","GSW","29","78","24","0.091","15","36","0.417","0.417"
"1341","0.091","15","36","0.417","0","0","0","201175","Glen Davis","1610612746","LAC","29","74","28","0.141","15","36","0.417","0.417","0.141"
"1342","15","36","0.417","0","0","0","202390","Gary Neal","1610612750","MIN","30","54","25","0.072","14","36","0.389","0.389","0.07","14"
"1343","35","0.4","0.002","0","1","0","202362","Lance Stephenson","1610612766","CHA","24","61","27","0.066","12","36","0.333","0.333","0.066","12"
"1344","36","0.333","0","0","0","200782","PJ Tucker","1610612756","PHX","30","78","33","0.059","17","35","0.486","0.5","0.057","16","34"
"1345","0.471","0.002","1","1","1","203492","Ray McCallum","1610612758","SAC","24","68","24","0.075","14","35","0.4","0.4","0.075","14","35"
"1346","0.4","0","0","0","204028","Tarik Black","1610612747","LAL","23","62","29","0.13","21","34","0.618","0.618","0.13","21","34","0.618"
"1347","0","0","0","101106","Andrew Bogut","1610612744","GSW","30","67","24","0.097","16","34","0.471","0.471","0.097","16","34","0.471","0"
"1348","0","0","203101","Miles Plumlee","1610612749","MIL","26","73","26","0.139","15","34","0.441","0.441","0.139","15","34","0.441","0","0"
"1349","0","2743","Kris Humphries","1610612764","WAS","30","64","25","0.076","14","34","0.412","0.412","0.076","14","34","0.412","0","0","0"
"1350","202388","Donald Sloan","1610612754","IND","27","53","23","0.096","11","34","0.324","0.324","0.096","11","34","0.324","0","0","0","203897"
"1351","Zach LaVine","1610612750","MIN","20","76","22","0.049","14","33","0.424","0.424","0.049","14","33","0.424","0","0","0","203084","Harrison Barnes"
"1352","1610612744","GSW","23","82","24","0.051","10","33","0.303","0.303","0.051","10","33","0.303","0","0","0","201582","Alexis Ajinca","1610612740"
"1353","NOP","27","68","22","0.098","20","32","0.625","0.625","0.098","20","32","0.625","0","0","0","201627","Anthony Morrow","1610612760","OKC"
"1354","29","74","26","0.052","16","32","0.5","0.516","0.05","15","31","0.484","0.002","1","1","1","201943","Brandon Jennings","1610612765","DET"
"1355","25","41","23","0.059","13","32","0.406","0.406","0.056","13","30","0.433","0.004","0","2","0","201142","Kevin Durant","1610612760","OKC"
"1356","26","27","22","0.069","12","32","0.375","0.375","0.066","12","31","0.387","0.002","0","1","0","2585","Zaza Pachulia","1610612749","MIL"
"1357","31","72","23","0.062","15","31","0.484","0.484","0.062","15","31","0.484","0","0","0","203142","Chris Copeland","1610612754","IND","31"
"1358","50","18","0.101","15","31","0.484","0.484","0.101","15","31","0.484","0","0","0","203953","Jabari Parker","1610612749","MIL","20","25"
"1359","18","0.119","15","31","0.484","0.484","0.119","15","31","0.484","0","0","0","201978","Chase Budinger","1610612750","MIN","27","66","24"
"1360","0.08","13","31","0.419","0.419","0.078","13","30","0.433","0.003","0","1","0","203109","Jae Crowder","1610612738","BOS","24","82","27"
"1361","0.057","13","31","0.419","0.419","0.057","13","31","0.419","0","0","0","200811","Lou Amundson","1610612752","NYK","32","52","22","0.125"
"1362","12","31","0.387","0.387","0.125","12","31","0.387","0","0","0","202682","Derrick Williams","1610612758","SAC","24","74","25","0.064","11"
"1363","31","0.355","0.355","0.062","11","30","0.367","0.002","0","1","0","203960","JaKarr Sampson","1610612755","PHI","22","74","21","0.092","11"
"1364","31","0.355","0.355","0.086","11","29","0.379","0.006","0","2","0","101108","Chris Paul","1610612746","LAC","30","82","27","0.027","11"
"1365","31","0.355","0.355","0.027","11","31","0.355","0","0","0","202687","Bismack Biyombo","1610612766","CHA","22","64","23","0.162","18","30"
"1366","0.6","0.6","0.162","18","30","0.6","0","0","0","201946","Tyler Hansbrough","1610612761","TOR","29","74","25","0.184","16","30","0.533"
"1367","0.533","0.184","16","30","0.533","0","0","0","201568","Danilo Gallinari","1610612743","DEN","26","59","24","0.053","15","30","0.5","0.517"
"1368","0.051","14","29","0.483","0.002","1","1","1","2772","Trevor Ariza","1610612745","HOU","29","81","23","0.033","13","30","0.433","0.433"
"1369","0.032","13","29","0.448","0.001","0","1","0","203940","Adreian Payne","1610612750","MIN","24","32","16","0.136","13","30","0.433","0.433"
"1370","0.136","13","30","0.433","0","0","0","1890","Shawn Marion","1610612739","CLE","37","56","20","0.115","11","30","0.367","0.367","0.115"
"1371","11","30","0.367","0","0","0","202688","Brandon Knight","1610612756","PHX","23","62","23","0.034","10","30","0.333","0.35","0.033","9"
"1372","29","0.31","0.001","1","1","1","200765","Rajon Rondo","1610612742","DAL","29","68","25","0.047","10","30","0.333","0.333","0.047","10"
"1373","30","0.333","0","0","0","2590","Mo Williams","1610612766","CHA","32","67","26","0.035","7","30","0.233","0.233","0.03","7","26"
"1374","0.269","0.005","0","4","0","203156","Henry Sims","1610612755","PHI","25","73","24","0.059","16","29","0.552","0.552","0.059","16","29"
"1375","0.552","0","0","0","2617","Udonis Haslem","1610612748","MIA","35","61","21","0.125","16","29","0.552","0.552","0.125","16","29","0.552"
"1376","0","0","0","2570","Kendrick Perkins","1610612739","CLE","30","68","24","0.128","15","29","0.517","0.517","0.128","15","29","0.517","0"
"1377","0","0","203145","Kent Bazemore","1610612737","ATL","25","75","21","0.088","12","29","0.414","0.414","0.088","12","29","0.414","0","0"
"1378","0","1717","Dirk Nowitzki","1610612742","DAL","37","77","23","0.027","11","29","0.379","0.379","0.026","11","28","0.393","0.001","0","1"
"1379","0","203082","Terrence Ross","1610612761","TOR","24","82","24","0.039","10","29","0.345","0.362","0.035","9","26","0.346","0.004","1","3"
"1380","0.333","201150","Spencer Hawes","1610612746","LAC","27","73","21","0.068","14","28","0.5","0.5","0.068","14","28","0.5","0","0","0"
"1381","2734","Devin Harris","1610612742","DAL","32","76","22","0.053","13","28","0.464","0.482","0.05","12","26","0.462","0.004","1","2","0.5"
"1382","203144","Alexey Shved","1610612752","NYK","26","42","19","0.085","10","28","0.357","0.357","0.085","10","28","0.357","0","0","0","203105"
"1383","Festus Ezeli","1610612744","GSW","25","46","21","0.204","10","28","0.357","0.357","0.204","10","28","0.357","0","0","0","201951","Ty Lawson"
"1384","1610612743","DEN","27","75","23","0.029","13","27","0.481","0.481","0.028","13","26","0.5","0.001","0","1","0","2571","Leandro Barbosa"
"1385","1610612744","GSW","32","66","23","0.071","13","27","0.481","0.5","0.068","12","26","0.462","0.003","1","1","1","2365","Chris Andersen"
"1386","1610612748","MIA","36","59","21","0.136","12","27","0.444","0.444","0.136","12","27","0.444","0","0","0","203503","Tony Snell","1610612741"
"1387","CHI","23","72","23","0.073","12","27","0.444","0.444","0.073","12","27","0.444","0","0","0","2440","Matt Barnes","1610612746","LAC"
"1388","35","76","22","0.044","10","27","0.37","0.37","0.044","10","27","0.37","0","0","0","201156","Nick Young","1610612747","LAL","30"
"1389","42","19","0.057","7","27","0.259","0.259","0.044","7","21","0.333","0.013","0","6","0","101150","Lou Williams","1610612761","TOR","28"
"1390","80","22","0.028","12","26","0.462","0.5","0.02","10","19","0.526","0.008","2","7","0.286","203468","CJ McCollum","1610612757","POR","23"
"1391","62","22","0.071","10","26","0.385","0.385","0.068","10","25","0.4","0.003","0","1","0","2419","Tayshaun Prince","1610612765","DET","35"
"1392","58","20","0.065","9","26","0.346","0.346","0.065","9","26","0.346","0","0","0","201980","Danny Green","1610612759","SAS","28","81"
"1393","22","0.034","13","25","0.52","0.52","0.031","13","23","0.565","0.003","0","2","0","2446","Rasual Butler","1610612764","WAS","36","75"
"1394","21","0.048","10","25","0.4","0.4","0.047","10","24","0.417","0.002","0","1","0","101141","Ersan Ilyasova","1610612749","MIL","28","57"
"1395","19","0.046","9","25","0.36","0.38","0.042","8","23","0.348","0.004","1","2","0.5","101111","Charlie Villanueva","1610612742","DAL","30","64"
"1396","18","0.069","8","25","0.32","0.32","0.069","8","25","0.32","0","0","0","203918","Rodney Hood","1610612762","UTA","22","50","16"
"1397","0.067","7","25","0.28","0.3","0.064","6","24","0.25","0.003","1","1","1","202708","Norris Cole","1610612740","NOP","26","74","17"
"1398","0.044","12","24","0.5","0.5","0.044","12","24","0.5","0","0","0","101107","Marvin Williams","1610612766","CHA","29","78","18","0.049"
"1399","12","24","0.5","0.5","0.049","12","24","0.5","0","0","0","200826","Jose Juan Barea","1610612742","DAL","31","77","19","0.045","11"
"1400","24","0.458","0.458","0.045","11","24","0.458","0","0","0","201587","Nicolas Batum","1610612757","POR","26","71","21","0.04","11","24"
"1401","0.458","0.479","0.037","10","22","0.455","0.003","1","2","0.5","2760","Anderson Varejao","1610612739","CLE","32","26","16","0.121","10","24"
"1402","0.417","0.417","0.121","10","24","0.417","0","0","0","203490","Otto Porter","1610612764","WAS","22","74","20","0.061","9","24","0.375"
"1403","0.375","0.059","9","23","0.391","0.003","0","1","0","202329","Al-Farouq Aminu","1610612742","DAL","24","74","20","0.068","9","24","0.375"
"1404","0.375","0.068","9","24","0.375","0","0","0","203462","Archie Goodwin","1610612756","PHX","20","41","16","0.121","9","24","0.375","0.396"
"1405","0.116","8","23","0.348","0.005","1","1","1","2747","J.R. Smith","1610612739","CLE","29","70","19","0.032","8","24","0.333","0.354"
"1406","0.026","7","20","0.35","0.005","1","4","0.25","202325","Wesley Johnson","1610612747","LAL","27","76","20","0.035","8","24","0.333","0.333"
"1407","0.035","8","24","0.333","0","0","0","2755","Kevin Martin","1610612750","MIN","32","38","15","0.039","6","24","0.25","0.271","0.037"
"1408","5","23","0.217","0.002","1","1","1","2555","Nick Collison","1610612760","OKC","34","66","20","0.091","13","23","0.565","0.565","0.091"
"1409","13","23","0.565","0","0","0","201160","Jason Smith","1610612752","NYK","29","81","18","0.039","12","23","0.522","0.522","0.039","12"
"1410","23","0.522","0","0","0","200745","Andrea Bargnani","1610612752","NYK","29","29","15","0.064","11","23","0.478","0.478","0.064","11","23"
"1411","0.478","0","0","0","2399","Mike Dunleavy","1610612741","CHI","34","63","17","0.048","11","23","0.478","0.5","0.046","10","22","0.455"
"1412","0.002","1","1","1","201973","Jonas Jerebko","1610612738","BOS","28","75","21","0.061","10","23","0.435","0.457","0.058","9","22","0.409"
"1413","0.003","1","1","1","201977","Marcus Thornton","1610612756","PHX","28","48","15","0.068","10","23","0.435","0.435","0.068","10","23","0.435"
"1414","0","0","0","201584","Courtney Lee","1610612763","MEM","29","77","17","0.036","10","23","0.435","0.435","0.036","10","23","0.435","0"
"1415","0","0","201961","Wayne Ellington","1610612747","LAL","27","65","17","0.037","8","23","0.348","0.37","0.036","7","22","0.318","0.002","1"
"1416","1","1","203135","Robert Sacre","1610612747","LAL","26","67","19","0.075","7","23","0.304","0.304","0.075","7","23","0.304","0","0"
"1417","0","202692","Alec Burks","1610612762","UTA","23","27","16","0.077","7","23","0.304","0.304","0.077","7","23","0.304","0","0","0"
"1418","200755","JJ Redick","1610612746","LAC","31","78","19","0.024","13","22","0.591","0.636","0.019","11","18","0.611","0.004","2","4","0.5"
"1419","201158","Marco Belinelli","1610612759","SAS","29","62","15","0.047","11","22","0.5","0.5","0.047","11","22","0.5","0","0","0","203087"
"1420","Jeremy Lamb","1610612760","OKC","23","47","13","0.088","11","22","0.5","0.5","0.088","11","22","0.5","0","0","0","202713","Kyle Singler"
"1421","1610612760","OKC","27","80","19","0.049","10","22","0.455","0.477","0.047","9","21","0.429","0.002","1","1","1","203080","Thomas Robinson"
"1422","1610612755","PHI","24","54","18","0.085","9","22","0.409","0.409","0.085","9","22","0.409","0","0","0","1713","Vince Carter","1610612763"
"1423","MEM","38","66","20","0.052","8","21","0.381","0.381","0.05","8","20","0.4","0.002","0","1","0","202407","Elijah Millsap","1610612762"
"1424","UTA","27","47","17","0.09","5","21","0.238","0.238","0.09","5","21","0.238","0","0","0","203798","PJ Hairston","1610612766","CHA"
"1425","22","45","20","0.079","5","21","0.238","0.238","0.071","5","19","0.263","0.007","0","2","0","203124","Kyle O'Quinn","1610612753","ORL"
"1426","25","51","15","0.083","15","20","0.75","0.75","0.083","15","20","0.75","0","0","0","202335","Patrick Patterson","1610612761","TOR","26"
"1427","81","16","0.038","12","20","0.6","0.6","0.038","12","20","0.6","0","0","0","202347","Quincy Pondexter","1610612740","NOP","27","75"
"1428","17","0.041","10","20","0.5","0.5","0.041","10","20","0.5","0","0","0","203956","Mitch McGary","1610612760","OKC","23","32","16"
"1429","0.121","9","20","0.45","0.45","0.121","9","20","0.45","0","0","0","203521","Matthew Dellavedova","1610612739","CLE","24","66","15","0.066"
"1430","5","20","0.25","0.275","0.059","4","18","0.222","0.007","1","2","0.5","2210","Richard Jefferson","1610612742","DAL","35","74","17","0.062"
"1431","5","20","0.25","0.25","0.059","5","19","0.263","0.003","0","1","0","2501","Reggie Evans","1610612758","SAC","35","47","16","0.147"
"1432","5","20","0.25","0.25","0.147","5","20","0.25","0","0","0","203461","Anthony Bennett","1610612750","MIN","22","56","15","0.068","5"
"1433","20","0.25","0.25","0.068","5","20","0.25","0","0","0","203090","Maurice Harkless","1610612753","ORL","22","45","13","0.122","11","19"
"1434","0.579","0.579","0.122","11","19","0.579","0","0","0","203148","Brian Roberts","1610612766","CHA","29","72","16","0.042","11","19","0.579"
"1435","0.579","0.042","11","19","0.579","0","0","0","203499","Shane Larkin","1610612752","NYK","22","75","16","0.045","10","19","0.526","0.526"
"1436","0.045","10","19","0.526","0","0","0","203935","Marcus Smart","1610612738","BOS","21","67","19","0.04","10","19","0.526","0.553","0.036"
"1437","9","17","0.529","0.004","1","2","0.5","203112","Quincy Acy","1610612752","NYK","24","67","16","0.058","10","19","0.526","0.526","0.058"
"1438","10","19","0.526","0","0","0","201563","Michael Beasley","1610612748","MIA","26","24","15","0.09","9","19","0.474","0.474","0.09","9"
"1439","19","0.474","0","0","0","2732","Ben Gordon","1610612753","ORL","32","56","15","0.065","9","19","0.474","0.5","0.062","8","18"
"1440","0.444","0.003","1","1","1","203103","Perry Jones","1610612760","OKC","23","43","13","0.103","8","19","0.421","0.421","0.103","8","19"
"1441","0.421","0","0","0","201967","Dante Cunningham","1610612740","NOP","28","66","18","0.056","8","19","0.421","0.421","0.056","8","19","0.421"
"1442","0","0","0","203120","Justin Hamilton","1610612750","MIN","25","41","14","0.107","8","19","0.421","0.421","0.107","8","19","0.421","0"
"1443","0","0","203473","Dewayne Dedmon","1610612753","ORL","25","59","14","0.114","13","18","0.722","0.722","0.114","13","18","0.722","0","0"
"1444","0","203928","Cory Jefferson","1610612751","BKN","24","50","15","0.116","11","18","0.611","0.611","0.116","11","18","0.611","0","0","0"
"1445","203115","Will Barton","1610612743","DEN","24","58","15","0.051","10","18","0.556","0.556","0.051","10","18","0.556","0","0","0","201954"
"1446","Darren Collison","1610612758","SAC","27","45","14","0.033","10","18","0.556","0.556","0.033","10","18","0.556","0","0","0","2738","Andre Iguodala"
"1447","1610612744","GSW","31","77","17","0.037","9","18","0.5","0.5","0.037","9","18","0.5","0","0","0","202336","Larry Sanders","1610612749"
"1448","MIL","26","27","14","0.106","8","18","0.444","0.444","0.106","8","18","0.444","0","0","0","201573","Jerryd Bayless","1610612749","MIL"
"1449","26","76","15","0.035","8","18","0.444","0.444","0.035","8","18","0.444","0","0","0","2749","Jameer Nelson","1610612743","DEN","33"
"1450","63","14","0.036","7","18","0.389","0.389","0.03","7","15","0.467","0.006","0","3","0","203118","Mike Scott","1610612737","ATL","26"
"1451","68","15","0.04","7","18","0.389","0.389","0.04","7","18","0.389","0","0","0","201937","Ricky Rubio","1610612750","MIN","24","22"
"1452","12","0.082","6","18","0.333","0.333","0.082","6","18","0.333","0","0","0","203917","Nik Stauskas","1610612758","SAC","21","73","15"
"1453","0.061","5","18","0.278","0.278","0.061","5","18","0.278","0","0","0","203932","Aaron Gordon","1610612753","ORL","19","47","16","0.083"
"1454","10","17","0.588","0.588","0.083","10","17","0.588","0","0","0","200757","Thabo Sefolosha","1610612737","ATL","31","52","15","0.069","9"
"1455","17","0.529","0.529","0.069","9","17","0.529","0","0","0","202730","Lavoy Allen","1610612754","IND","26","63","13","0.058","9","17"
"1456","0.529","0.529","0.058","9","17","0.529","0","0","0","203933","TJ Warren","1610612756","PHX","21","40","9","0.079","9","17","0.529"
"1457","0.529","0.079","9","17","0.529","0","0","0","203141","Mirza Teletovic","1610612751","BKN","29","40","13","0.054","8","17","0.471","0.471"
"1458","0.054","8","17","0.471","0","0","0","204038","Langston Galloway","1610612752","NYK","23","44","16","0.034","7","17","0.412","0.412","0.032"
"1459","7","16","0.438","0.002","0","1","0","101131","Jason Maxiell","1610612766","CHA","32","61","13","0.09","6","17","0.353","0.353","0.09"
"1460","6","17","0.353","0","0","0","203898","Tyler Ennis","1610612749","MIL","20","33","10","0.118","2","17","0.118","0.118","0.111","2"
"1461","16","0.125","0.007","0","1","0","708","Kevin Garnett","1610612750","MIN","39","47","14","0.054","10","16","0.625","0.625","0.054","10"
"1462","16","0.625","0","0","0","201595","Joey Dorsey","1610612745","HOU","31","68","14","0.112","10","16","0.625","0.625","0.112","10","16"
"1463","0.625","0","0","0","202087","Alonzo Gee","1610612757","POR","28","54","11","0.086","9","16","0.563","0.563","0.086","9","16","0.563"
"1464","0","0","0","201988","Patty Mills","1610612759","SAS","26","51","12","0.048","9","16","0.563","0.563","0.048","9","16","0.563","0"
"1465","0","0","202734","E'Twaun Moore","1610612741","CHI","26","56","9","0.118","8","16","0.5","0.5","0.118","8","16","0.5","0","0"
"1466","0","201228","CJ Watson","1610612754","IND","31","57","13","0.038","6","16","0.375","0.438","0.034","4","14","0.286","0.005","2","2"
"1467","1","200751","Randy Foye","1610612743","DEN","31","50","14","0.04","5","16","0.313","0.313","0.04","5","16","0.313","0","0","0"
"1468","203094","Andrew Nicholson","1610612753","ORL","25","40","13","0.085","5","16","0.313","0.313","0.085","5","16","0.313","0","0","0","203481"
"1469","Jeff Withey","1610612740","NOP","25","37","12","0.234","7","15","0.467","0.467","0.234","7","15","0.467","0","0","0","202720","Jon Leuer"
"1470","1610612763","MEM","26","63","14","0.055","6","15","0.4","0.4","0.055","6","15","0.4","0","0","0","203921","Cleanthony Early","1610612752"
"1471","NYK","24","39","12","0.07","6","15","0.4","0.4","0.066","6","14","0.429","0.005","0","1","0","201976","Patrick Beverley","1610612745"
"1472","HOU","26","56","12","0.028","5","15","0.333","0.367","0.023","4","12","0.333","0.006","1","3","0.333","101181","Jose Calderon","1610612752"
"1473","NYK","33","41","11","0.043","5","15","0.333","0.333","0.04","5","14","0.357","0.003","0","1","0","203477","Isaiah Canaan","1610612755"
"1474","PHI","24","46","12","0.041","5","15","0.333","0.333","0.041","5","15","0.333","0","0","0","204020","Tyler Johnson","1610612748","MIA"
"1475","23","32","12","0.09","5","15","0.333","0.333","0.09","5","15","0.333","0","0","0","203527","Ryan Kelly","1610612747","LAL","24"
"1476","52","13","0.049","4","15","0.267","0.267","0.049","4","15","0.267","0","0","0","201965","Jeff Ayres","1610612759","SAS","28","51"
"1477","12","0.149","9","14","0.643","0.643","0.149","9","14","0.643","0","0","0","2406","Caron Butler","1610612765","DET","35","78","11"
"1478","0.035","7","14","0.5","0.536","0.03","6","12","0.5","0.005","1","2","0.5","203561","Brandon Davies","1610612751","BKN","23","27","7"
"1479","0.102","4","14","0.286","0.286","0.102","4","14","0.286","0","0","0","2584","Willie Green","1610612753","ORL","33","52","12","0.046"
"1480","3","14","0.214","0.214","0.046","3","14","0.214","0","0","0","201580","JaVale McGee","1610612755","PHI","27","23","8","0.165","10"
"1481","13","0.769","0.769","0.165","10","13","0.769","0","0","0","201229","Anthony Tolliver","1610612765","DET","30","76","13","0.033","8","13"
"1482","0.615","0.615","0.033","8","13","0.615","0","0","0","1891","Jason Terry","1610612745","HOU","37","76","10","0.029","7","13","0.538"
"1483","0.577","0.023","6","10","0.6","0.007","1","3","0.333","101179","Ronnie Price","1610612747","LAL","32","43","11","0.059","5","13","0.385"
"1484","0.423","0.045","4","10","0.4","0.014","1","3","0.333","2550","Kirk Hinrich","1610612741","CHI","34","66","13","0.034","5","13","0.385"
