"","player_id","player_name","player_last_team_id","player_last_team_abbreviation","age","gp","g","fga_frequency","fgm","fga","fg_pct","efg_pct","fg2a_frequency","fg2m","fg2a","fg2_pct","fg3a_frequency","fg3m","fg3a","fg3_pct"
"46","17","0.023","10","21","0.476","0.476","0.023","10","21","0.476","0","0","0","203458","Alex Len","1610612756","PHX","22","69","16"
"47","0.061","10","21","0.476","0.476","0.061","10","21","0.476","0","0","0","201574","Jason Thompson","1610612758","SAC","28","81","18","0.049"
"48","9","21","0.429","0.429","0.049","9","21","0.429","0","0","0","201152","Thaddeus Young","1610612751","BKN","27","75","18","0.022","9"
"49","21","0.429","0.429","0.022","9","21","0.429","0","0","0","201586","Serge Ibaka","1610612760","OKC","25","64","15","0.027","9","21"
"50","0.429","0.429","0.027","9","21","0.429","0","0","0","2743","Kris Humphries","1610612764","WAS","30","64","20","0.047","8","21","0.381"
"51","0.381","0.047","8","21","0.381","0","0","0","201933","Blake Griffin","1610612746","LAC","26","67","15","0.018","8","21","0.381","0.381"
"52","0.018","8","21","0.381","0","0","0","201582","Alexis Ajinca","1610612740","NOP","27","68","19","0.064","7","21","0.333","0.333","0.064"
"53","7","21","0.333","0","0","0","201593","Nikola Pekovic","1610612750","MIN","29","30","13","0.067","7","21","0.333","0.333","0.067","7"
"54","21","0.333","0","0","0","203080","Thomas Robinson","1610612755","PHI","24","54","17","0.078","14","20","0.7","0.7","0.078","14","20"
"55","0.7","0","0","0","202699","Tobias Harris","1610612753","ORL","22","68","13","0.021","11","20","0.55","0.575","0.02","10","19","0.526"
"56","0.001","1","1","1","2746","Josh Smith","1610612745","HOU","29","83","19","0.02","9","20","0.45","0.45","0.02","9","20","0.45"
"57","0","0","0","2405","Amar'e Stoudemire","1610612742","DAL","32","58","17","0.041","9","20","0.45","0.45","0.041","9","20","0.45","0"
"58","0","0","202687","Bismack Biyombo","1610612766","CHA","22","64","13","0.103","12","19","0.632","0.632","0.103","12","19","0.632","0","0"
"59","0","2430","Carlos Boozer","1610612747","LAL","33","71","16","0.026","12","19","0.632","0.632","0.026","12","19","0.632","0","0","0"
"60","202336","Larry Sanders","1610612749","MIL","26","27","14","0.112","11","19","0.579","0.579","0.112","11","19","0.579","0","0","0","203473"
"61","Dewayne Dedmon","1610612753","ORL","25","59","17","0.12","8","19","0.421","0.421","0.12","8","19","0.421","0","0","0","201946","Tyler Hansbrough"
"62","1610612761","TOR","29","74","17","0.117","6","19","0.316","0.316","0.117","6","19","0.316","0","0","0","202730","Lavoy Allen","1610612754"
"63","IND","26","63","15","0.062","12","18","0.667","0.667","0.062","12","18","0.667","0","0","0","204028","Tarik Black","1610612747","LAL"
"64","23","62","12","0.069","12","18","0.667","0.667","0.069","12","18","0.667","0","0","0","203089","John Henson","1610612749","MIL","24"
"65","66","16","0.054","8","18","0.444","0.444","0.054","8","18","0.444","0","0","0","101141","Ersan Ilyasova","1610612749","MIL","28","57"
"66","15","0.033","7","18","0.389","0.389","0.033","7","18","0.389","0","0","0","200811","Lou Amundson","1610612752","NYK","32","52","13"
"67","0.073","6","18","0.333","0.333","0.073","6","18","0.333","0","0","0","203382","Aron Baynes","1610612759","SAS","28","70","16","0.052"
"68","7","17","0.412","0.412","0.052","7","17","0.412","0","0","0","202338","Kevin Seraphin","1610612764","WAS","25","79","14","0.036","13"
"69","16","0.813","0.813","0.036","13","16","0.813","0","0","0","201148","Brandan Wright","1610612756","PHX","27","75","16","0.044","12","16"
"70","0.75","0.75","0.044","12","16","0.75","0","0","0","200752","Rudy Gay","1610612758","SAC","28","68","13","0.014","11","16","0.688"
"71","0.688","0.014","11","16","0.688","0","0","0","101106","Andrew Bogut","1610612744","GSW","30","67","11","0.046","11","16","0.688","0.688"
"72","0.046","11","16","0.688","0","0","0","203901","Elfrid Payton","1610612753","ORL","21","82","12","0.023","9","16","0.563","0.563","0.023"
"73","9","16","0.563","0","0","0","202700","Donatas Motiejunas","1610612745","HOU","24","70","15","0.023","9","16","0.563","0.563","0.023","9"
"74","16","0.563","0","0","0","202344","Trevor Booker","1610612762","UTA","27","79","13","0.035","9","16","0.563","0.563","0.035","9","16"
"75","0.563","0","0","0","2400","Drew Gooden","1610612764","WAS","33","51","13","0.059","7","16","0.438","0.438","0.059","7","16","0.438"
"76","0","0","0","2617","Udonis Haslem","1610612748","MIA","35","61","12","0.069","6","16","0.375","0.375","0.069","6","16","0.375","0"
"77","0","0","202329","Al-Farouq Aminu","1610612742","DAL","24","74","11","0.045","4","16","0.25","0.25","0.045","4","16","0.25","0","0"
"78","0","203933","TJ Warren","1610612756","PHX","21","40","14","0.07","13","15","0.867","0.867","0.07","13","15","0.867","0","0","0"
