"player_id","player_name","team_id","team_abbreviation","gp","reb","ast","tov","stl","blk","pf","type","n"
201143,"Al Horford",1610612737,"ATL",16,0.80327868852459,0.737704918032787,0.631147540983607,0.532786885245902,0.885245901639344,0.631147540983607,"playoff",61
201582,"Alexis Ajinca",1610612740,"NOP",3,0.0327868852459016,0.0491803278688525,0.967213114754098,0.122950819672131,0.0983606557377049,0.967213114754098,"playoff",61
2738,"Andre Iguodala",1610612744,"GSW",21,0.434426229508197,0.721311475409836,0.704918032786885,0.655737704918033,0.377049180327869,0.704918032786885,"playoff",61
101106,"Andrew Bogut",1610612744,"GSW",19,0.770491803278688,0.426229508196721,0.0819672131147541,0.426229508196721,0.918032786885246,0.0819672131147541,"playoff",61
203076,"Anthony Davis",1610612740,"NOP",4,0.918032786885246,0.442622950819672,0.278688524590164,0.721311475409836,1,0.278688524590164,"playoff",61
203085,"Austin Rivers",1610612746,"LAC",14,0.131147540983607,0.270491803278689,0.704918032786885,0.475409836065574,0.377049180327869,0.704918032786885,"playoff",61
2757,"Beno Udrih",1610612763,"MEM",10,0.163934426229508,0.467213114754098,0.827868852459016,0.344262295081967,0.0983606557377049,0.827868852459016,"playoff",61
201933,"Blake Griffin",1610612746,"LAC",14,0.983606557377049,0.901639344262295,0.19672131147541,0.614754098360656,0.737704918032787,0.19672131147541,"playoff",61
101108,"Chris Paul",1610612746,"LAC",12,0.434426229508197,0.983606557377049,0.19672131147541,0.959016393442623,0.377049180327869,0.19672131147541,"playoff",61
201147,"Corey Brewer",1610612745,"HOU",17,0.295081967213115,0.229508196721311,0.368852459016393,0.475409836065574,0.278688524590164,0.368852459016393,"playoff",61
201584,"Courtney Lee",1610612763,"MEM",11,0.270491803278689,0.491803278688525,0.631147540983607,0.639344262295082,0.0983606557377049,0.631147540983607,"playoff",61
203081,"Damian Lillard",1610612757,"POR",5,0.377049180327869,0.819672131147541,0.278688524590164,0.221311475409836,0.590163934426229,0.278688524590164,"playoff",61
201967,"Dante Cunningham",1610612740,"NOP",4,0.459016393442623,0.114754098360656,0.770491803278688,0.532786885245902,0.737704918032787,0.770491803278688,"playoff",61
101135,"David Lee",1610612744,"GSW",13,0.270491803278689,0.147540983606557,0.901639344262295,0.0819672131147541,0.278688524590164,0.901639344262295,"playoff",61
1717,"Dirk Nowitzki",1610612742,"DAL",5,0.885245901639344,0.532786885245902,0.155737704918033,0.221311475409836,0.459016393442623,0.155737704918033,"playoff",61
203110,"Draymond Green",1610612744,"GSW",21,0.852459016393443,0.885245901639344,0.0327868852459016,0.926229508196721,0.827868852459016,0.0327868852459016,"playoff",61
2730,"Dwight Howard",1610612745,"HOU",17,1,0.270491803278689,0.0983606557377049,0.811475409836066,0.967213114754098,0.0983606557377049,"playoff",61
201569,"Eric Gordon",1610612740,"NOP",4,0.221311475409836,0.754098360655738,0.409836065573771,0.344262295081967,0.524590163934426,0.409836065573771,"playoff",61
203084,"Harrison Barnes",1610612744,"GSW",21,0.614754098360656,0.327868852459016,0.631147540983607,0.532786885245902,0.524590163934426,0.631147540983607,"playoff",61
202697,"Iman Shumpert",1610612739,"CLE",20,0.540983606557377,0.270491803278689,0.5,0.721311475409836,0.647540983606557,0.5,"playoff",61
2747,"J.R. Smith",1610612739,"CLE",18,0.5,0.270491803278689,0.278688524590164,0.614754098360656,0.590163934426229,0.278688524590164,"playoff",61
201935,"James Harden",1610612745,"HOU",17,0.688524590163934,0.950819672131147,0.368852459016393,0.89344262295082,0.459016393442623,0.368852459016393,"playoff",61
2592,"James Jones",1610612739,"CLE",20,0.114754098360656,0.114754098360656,0.672131147540984,0.221311475409836,0.278688524590164,0.672131147540984,"playoff",61
1891,"Jason Terry",1610612745,"HOU",17,0.221311475409836,0.639344262295082,0.434426229508197,0.581967213114754,0.213114754098361,0.434426229508197,"playoff",61
201145,"Jeff Green",1610612763,"MEM",11,0.5,0.385245901639344,0.80327868852459,0.344262295081967,0.524590163934426,0.80327868852459,"playoff",61
201952,"Jeff Teague",1610612737,"ATL",16,0.311475409836066,0.934426229508197,0.631147540983607,0.852459016393443,0.459016393442623,0.631147540983607,"playoff",61
202710,"Jimmy Butler",1610612741,"CHI",12,0.663934426229508,0.672131147540984,0.573770491803279,0.991803278688525,0.647540983606557,0.573770491803279,"playoff",61
202322,"John Wall",1610612764,"WAS",7,0.5,1,0.737704918032787,0.811475409836066,0.860655737704918,0.737704918032787,"playoff",61
202720,"Jon Leuer",1610612763,"MEM",4,0.0901639344262295,0.0163934426229508,0.983606557377049,0.040983606557377,0.0983606557377049,0.983606557377049,"playoff",61
2746,"Josh Smith",1610612745,"HOU",17,0.663934426229508,0.614754098360656,0.540983606557377,0.344262295081967,0.737704918032787,0.540983606557377,"playoff",61
201950,"Jrue Holiday",1610612740,"NOP",3,0.0491803278688525,0.786885245901639,0.950819672131147,0.475409836065574,0.377049180327869,0.950819672131147,"playoff",61
203200,"Justin Holiday",1610612744,"GSW",5,0.0163934426229508,0.0327868852459016,1,0.040983606557377,0.0983606557377049,1,"playoff",61
201567,"Kevin Love",1610612739,"CLE",4,0.721311475409836,0.557377049180328,0.278688524590164,0.122950819672131,0.524590163934426,0.278688524590164,"playoff",61
202691,"Klay Thompson",1610612744,"GSW",21,0.360655737704918,0.581967213114754,0.19672131147541,0.532786885245902,0.688524590163934,0.19672131147541,"playoff",61
201585,"Kosta Koufos",1610612763,"MEM",11,0.327868852459016,0.0737704918032787,0.901639344262295,0.221311475409836,0.590163934426229,0.901639344262295,"playoff",61
