person_id,display_last_comma_first,display_first_last,rosterstatus,from_year,to_year,playercode,team_id,team_city,team_name,team_abbreviation,team_code,games_played_flag
2581,Blake, Steve,Steve Blake,TRUE,2003,2015,steve_blake,1610612765,Detroit,Pistons,DET,pistons,Y
202339,Bledsoe, Eric,Eric Bledsoe,TRUE,2010,2015,eric_bledsoe,1610612756,Phoenix,Suns,PHX,suns,Y
202711,Bogdanovic, Bojan,Bojan Bogdanovic,TRUE,2014,2015,bojan_bogdanovic,1610612751,Brooklyn,Nets,BKN,nets,Y
101106,Bogut, Andrew,Andrew Bogut,TRUE,2005,2015,andrew_bogut,1610612744,Golden State,Warriors,GSW,warriors,Y
2588,Bonner, Matt,Matt Bonner,TRUE,2004,2015,matt_bonner,1610612759,San Antonio,Spurs,SAS,spurs,Y
1626164,Booker, Devin,Devin Booker,TRUE,2015,2015,devin_booker,1610612756,Phoenix,Suns,PHX,suns,Y
202344,Booker, Trevor,Trevor Booker,TRUE,2010,2015,trevor_booker,1610612762,Utah,Jazz,UTA,jazz,Y
2547,Bosh, Chris,Chris Bosh,TRUE,2003,2015,chris_bosh,1610612748,Miami,Heat,MIA,heat,Y
202340,Bradley, Avery,Avery Bradley,TRUE,2010,2015,avery_bradley,1610612738,Boston,Celtics,BOS,celtics,Y
1882,Brand, Elton,Elton Brand,TRUE,1999,2015,elton_brand,1610612755,Philadelphia,76ers,PHI,sixers,Y
201147,Brewer, Corey,Corey Brewer,TRUE,2007,2015,corey_brewer,1610612745,Houston,Rockets,HOU,rockets,Y
201166,Brooks, Aaron,Aaron Brooks,TRUE,2007,2015,aaron_brooks,1610612741,Chicago,Bulls,CHI,bulls,Y
1626148,Brown, Anthony,Anthony Brown,TRUE,2015,2015,anthony_brown,1610612747,Los Angeles,Lakers,LAL,lakers,Y
203485,Brown, Lorenzo,Lorenzo Brown,TRUE,2013,2015,lorenzo_brown,1610612765,Detroit,Pistons,DET,pistons,Y
203900,Brown, Markel,Markel Brown,TRUE,2014,2015,markel_brown,1610612751,Brooklyn,Nets,BKN,nets,Y
