"","grid_type","game_id","game_event_id","player_id","player_name","team_id","team_name","period","minutes_remaining","seconds_remaining","event_type","action_type","shot_type","shot_zone_basic","shot_zone_area","shot_zone_range","shot_distance","loc_x","loc_y","shot_attempted_flag","shot_made_flag","shot_made_numeric","shot_value"
"25","Shot Chart Detail","0041400171","40","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","1","7","15","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0.1,5.35,1,"made",1,2
"26","Shot Chart Detail","0041400171","51","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","1","5","52","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",18,-18.3,5.85,1,"missed",0,2
"27","Shot Chart Detail","0041400171","53","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","1","5","45","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0,5.35,1,"made",1,2
"28","Shot Chart Detail","0041400171","89","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","1","3","16","Missed Shot","Turnaround Fadeaway shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",14,-14.7,5.85,1,"missed",0,2
"29","Shot Chart Detail","0041400171","92","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","1","2","51","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",4,-1.5,9.95,1,"missed",0,2
"30","Shot Chart Detail","0041400171","120","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","1","0","30","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.",8,-2.3,13.25,1,"missed",0,2
"31","Shot Chart Detail","0041400171","170","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","2","7","33","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0,5.55,1,"missed",0,2
"32","Shot Chart Detail","0041400171","173","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","2","7","31","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0.4,5.85,1,"made",1,2
"33","Shot Chart Detail","0041400171","189","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","2","6","44","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",13,-12.7,9.95,1,"missed",0,2
"34","Shot Chart Detail","0041400171","210","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","2","5","16","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-1,5.65,1,"missed",0,2
