Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
Jon Leuer	PHX	63	43	7.9%	0.84	36	14	35	40.0	40.0	9.3%	9.3%	7.0%	0.0%	41.9%	55.6
Jerian Grant	NYK	70	46	10.1%	0.78	36	14	41	34.1	36.6	8.7%	4.3%	8.7%	2.2%	37.0%	45.5
Eric Gordon	NOP	45	47	6.9%	0.77	36	11	33	33.3	33.3	17.0%	14.9%	12.8%	2.1%	38.3%	41.8
Raul Neto	UTA	75	27	5.1%	1.30	35	13	20	65.0	70.0	18.5%	14.8%	14.8%	7.4%	59.3%	98.9
George Hill	IND	68	41	4.9%	0.85	35	14	37	37.8	43.2	7.3%	4.9%	4.9%	2.4%	36.6%	61.1
Lance Thomas	NYK	59	32	6.6%	1.06	34	11	26	42.3	44.2	25.0%	3.1%	21.9%	9.4%	50.0%	94.9
Nene Hilario	WAS	52	35	7.3%	0.97	34	14	28	50.0	50.0	14.3%	5.7%	14.3%	0.0%	51.4%	80.3
Jarrett Jack	BKN	32	50	10.1%	0.66	33	11	41	26.8	29.3	10.0%	8.0%	10.0%	0.0%	32.0%	22.2
Andre Drummond	DET	76	52	3.7%	0.63	33	12	35	34.3	34.3	25.0%	13.5%	21.2%	5.8%	36.5%	19.6
Shaun Livingston	GSW	72	34	7.5%	0.94	32	14	28	50.0	50.0	8.8%	11.8%	8.8%	2.9%	47.1%	76.0
Tony Parker	SAS	67	48	5.6%	0.65	31	13	37	35.1	36.5	4.2%	18.8%	4.2%	0.0%	31.3%	20.7
Jameer Nelson	DEN	39	30	7.8%	1.00	30	10	25	40.0	48.0	10.0%	6.7%	6.7%	0.0%	43.3%	89.2
Jeremy Lamb	CHA	61	40	7.1%	0.75	30	12	36	33.3	38.9	7.5%	7.5%	7.5%	5.0%	32.5%	38.7
Aaron Brooks	CHI	63	40	7.4%	0.75	30	11	32	34.4	34.4	15.0%	7.5%	15.0%	2.5%	40.0%	38.7
Avery Bradley	BOS	71	41	3.7%	0.73	30	12	35	34.3	38.6	7.3%	7.3%	7.3%	0.0%	36.6%	34.9
Ronnie Price	PHX	55	34	10.2%	0.85	29	10	28	35.7	41.1	11.8%	11.8%	8.8%	5.9%	35.3%	60.6
