Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
Wesley Matthews	DAL	72	40	4.4%	0.85	34	7	15	46.7	63.3	22.5%	40.0%	5.0%	0.0%	40.0%	92.5
Avery Bradley	BOS	71	43	3.9%	0.79	34	9	14	64.3	71.4	18.6%	48.8%	2.3%	0.0%	39.5%	88.6
Nicolas Batum	CHA	66	65	5.9%	0.52	34	7	11	63.6	68.2	18.5%	66.2%	3.1%	1.5%	27.7%	52.9
Ian Mahinmi	IND	66	68	11.4%	0.50	34	6	7	85.7	85.7	30.9%	58.8%	0.0%	0.0%	30.9%	49.9
Mike Conley	MEM	56	42	4.8%	0.79	33	4	10	40.0	45.0	33.3%	42.9%	9.5%	0.0%	42.9%	87.8
Jamal Crawford	LAC	75	43	3.9%	0.77	33	3	18	16.7	19.4	32.6%	25.6%	2.3%	0.0%	39.5%	84.5
Aron Baynes	DET	75	53	11.0%	0.62	33	5	6	83.3	83.3	28.3%	60.4%	0.0%	0.0%	35.8%	69.0
Derrick Rose	CHI	63	55	4.4%	0.60	33	10	24	41.7	41.7	14.5%	43.6%	3.6%	1.8%	30.9%	64.3
Zach Randolph	MEM	62	55	5.6%	0.60	33	6	19	31.6	31.6	27.3%	38.2%	3.6%	0.0%	34.5%	64.3
Enes Kanter	OKC	76	56	6.6%	0.59	33	4	8	50.0	50.0	33.9%	55.4%	5.4%	3.6%	35.7%	62.9
Roy Hibbert	LAL	74	62	12.0%	0.53	33	3	5	60.0	60.0	27.4%	64.5%	0.0%	0.0%	32.3%	55.1
Zaza Pachulia	DAL	69	76	11.1%	0.43	33	4	9	44.4	44.4	22.4%	65.8%	1.3%	0.0%	26.3%	39.3
Ryan Anderson	NOP	66	42	3.8%	0.76	32	8	21	38.1	45.2	19.0%	33.3%	4.8%	2.4%	35.7%	84.2
Jordan Clarkson	LAL	72	48	4.0%	0.67	32	6	22	27.3	31.8	22.9%	31.3%	2.1%	0.0%	35.4%	74.0
Aaron Gordon	ORL	75	50	7.3%	0.64	32	7	17	41.2	44.1	30.0%	38.0%	6.0%	2.0%	38.0%	71.7
Emmanuel Mudiay	DEN	63	51	4.6%	0.63	32	7	12	58.3	66.7	23.5%	52.9%	3.9%	0.0%	33.3%	69.5
Paul Millsap	ATL	76	63	4.7%	0.51	32	2	11	18.2	22.7	28.6%	54.0%	6.3%	0.0%	28.6%	50.7
Hassan Whiteside	MIA	66	92	10.8%	0.35	32	2	7	28.6	28.6	26.1%	66.3%	1.1%	0.0%	21.7%	25.8
Tony Allen	MEM	61	42	7.5%	0.74	31	9	13	69.2	73.1	21.4%	47.6%	2.4%	0.0%	40.5%	82.3
Chris Bosh	MIA	53	45	4.7%	0.69	31	8	12	66.7	66.7	20.0%	53.3%	4.4%	0.0%	37.8%	76.7
Marcus Smart	BOS	55	50	8.0%	0.62	31	2	14	14.3	21.4	32.0%	40.0%	2.0%	0.0%	34.0%	67.6
Zach LaVine	MIN	76	58	5.2%	0.53	31	6	14	42.9	50.0	19.0%	58.6%	3.4%	1.7%	27.6%	56.2
Serge Ibaka	OKC	74	66	6.7%	0.47	31	7	12	58.3	58.3	18.2%	63.6%	0.0%	0.0%	27.3%	45.6
Steven Adams	OKC	74	66	12.1%	0.47	31	3	7	42.9	42.9	31.8%	59.1%	3.0%	1.5%	28.8%	45.6
Luol Deng	MIA	67	42	5.2%	0.71	30	6	11	54.5	54.5	28.6%	45.2%	2.4%	0.0%	42.9%	78.3
Victor Oladipo	ORL	69	57	4.9%	0.53	30	5	20	25.0	27.5	21.1%	45.6%	3.5%	1.8%	28.1%	53.9
Marc Gasol	MEM	52	63	6.7%	0.48	30	2	5	40.0	40.0	27.0%	65.1%	0.0%	0.0%	30.2%	46.5
Ramon Sessions	WAS	76	39	5.3%	0.74	29	7	10	70.0	70.0	25.6%	53.8%	15.4%	5.1%	38.5%	82.5
Rudy Gay	SAC	66	41	3.5%	0.71	29	5	9	55.6	61.1	29.3%	48.8%	2.4%	0.0%	41.5%	77.6
Evan Fournier	ORL	73	47	4.5%	0.62	29	7	18	38.9	38.9	23.4%	40.4%	4.3%	2.1%	36.2%	67.0
Nikola Vucevic	ORL	60	60	5.3%	0.48	29	8	17	47.1	47.1	11.7%	60.0%	0.0%	0.0%	25.0%	47.9
Vince Carter	MEM	54	27	7.7%	1.04	28	4	9	44.4	55.6	40.7%	29.6%	7.4%	3.7%	51.9%	98.3
Eric Bledsoe	PHX	32	41	6.0%	0.68	28	5	12	41.7	45.8	29.3%	41.5%	2.4%	0.0%	36.6%	75.9
George Hill	IND	69	46	5.4%	0.61	28	5	13	38.5	42.3	23.9%	47.8%	0.0%	0.0%	32.6%	66.2
Kobe Bryant	LAL	59	51	4.4%	0.55	28	2	17	11.8	14.7	25.5%	41.2%	3.9%	0.0%	27.5%	59.0
Matt Barnes	MEM	70	68	8.8%	0.41	28	5	13	38.5	46.2	13.2%	67.6%	1.5%	0.0%	20.6%	35.1
Marcus Thornton	HOU	47	29	5.8%	0.93	27	5	15	33.3	36.7	27.6%	20.7%	0.0%	0.0%	44.8%	97.2
Jarrett Jack	BKN	32	35	7.1%	0.77	27	5	13	38.5	42.3	25.7%	37.1%	0.0%	0.0%	40.0%	85.6
Thaddeus Young	BKN	73	45	3.8%	0.60	27	8	14	57.1	57.1	15.6%	53.3%	0.0%	0.0%	31.1%	64.3
Corey Brewer	HOU	76	41	6.3%	0.63	26	5	21	23.8	31.0	29.3%	24.4%	7.3%	4.9%	31.7%	70.6
Brandon Knight	PHX	52	45	3.9%	0.58	26	6	13	46.2	50.0	17.8%	55.6%	2.2%	2.2%	26.7%	61.5
PJ Tucker	PHX	75	55	8.1%	0.47	26	6	18	33.3	33.3	16.4%	52.7%	1.8%	1.8%	23.6%	46.0
DAngelo Russell	LAL	73	56	5.0%	0.46	26	7	22	31.8	34.1	8.9%	51.8%	1.8%	0.0%	21.4%	44.7
Kevin Love	CLE	72	60	5.1%	0.43	26	1	8	12.5	12.5	23.3%	63.3%	3.3%	0.0%	25.0%	39.1
Garrett Temple	WAS	72	32	5.6%	0.78	25	5	12	41.7	41.7	31.3%	28.1%	9.4%	0.0%	46.9%	87.0
Isaiah Canaan	PHI	75	35	4.1%	0.71	25	6	11	54.5	77.3	11.4%	57.1%	0.0%	0.0%	28.6%	78.3
Ed Davis	POR	75	40	8.9%	0.63	25	4	4	100.0	100.0	35.0%	55.0%	5.0%	0.0%	40.0%	69.3
Blake Griffin	LAC	30	43	6.1%	0.58	25	4	9	44.4	44.4	27.9%	53.5%	2.3%	2.3%	32.6%	62.3
Andre Iguodala	GSW	60	47	10.4%	0.53	25	4	12	33.3	41.7	23.4%	51.1%	0.0%	0.0%	29.8%	54.7
Goran Dragic	MIA	65	47	4.7%	0.53	25	4	12	33.3	33.3	27.7%	46.8%	4.3%	0.0%	34.0%	54.7
Marcin Gortat	WAS	70	77	8.4%	0.32	25	6	8	75.0	75.0	14.3%	75.3%	0.0%	0.0%	18.2%	21.6
Maurice Williams	CLE	37	26	7.2%	0.92	24	4	6	66.7	83.3	26.9%	50.0%	0.0%	0.0%	42.3%	97.0
Courtney Lee	MEM	51	28	5.7%	0.86	24	8	10	80.0	80.0	25.0%	42.9%	3.6%	3.6%	50.0%	93.6
Dwight Powell	DAL	60	31	7.8%	0.77	24	0	1	0.0	0.0	48.4%	48.4%	6.5%	0.0%	48.4%	86.1
Tony Parker	SAS	67	35	4.1%	0.69	24	3	10	30.0	35.0	40.0%	31.4%	5.7%	0.0%	45.7%	76.2
Al Farouq Aminu	POR	76	36	4.3%	0.67	24	6	13	46.2	50.0	16.7%	47.2%	5.6%	0.0%	33.3%	74.0
