Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
Metta World Peace	LAL	31	32	17.2%	0.56	18	4	20	20.0	20.0	25.0%	12.5%	15.6%	0.0%	31.3%	11.9
Doug McDermott	CHI	74	19	2.8%	0.89	17	7	17	41.2	41.2	10.5%	0.0%	5.3%	0.0%	47.4%	68.0
Jeff Green	LAC	20	29	12.7%	0.59	17	5	20	25.0	25.0	13.8%	17.2%	13.8%	0.0%	31.0%	12.8
Stanley Johnson	DET	69	32	4.5%	0.53	17	7	23	30.4	30.4	6.3%	21.9%	3.1%	0.0%	28.1%	10.5
Kyrie Irving	CLE	49	20	2.0%	0.80	16	6	18	33.3	33.3	10.0%	0.0%	10.0%	0.0%	40.0%	41.9
Rudy Gobert	UTA	56	23	4.1%	0.70	16	5	12	41.7	41.7	17.4%	30.4%	13.0%	0.0%	39.1%	23.3
Alexis Ajinca	NOP	52	30	9.3%	0.53	16	8	27	29.6	29.6	0.0%	10.0%	0.0%	0.0%	26.7%	11.0
Michael Carter-Williams	MIL	54	37	4.7%	0.43	16	6	25	24.0	24.0	10.8%	24.3%	10.8%	2.7%	24.3%	5.5
Cody Zeller	CHA	67	15	2.6%	1.00	15	6	14	42.9	42.9	13.3%	0.0%	13.3%	6.7%	46.7%	87.2
Lavoy Allen	IND	71	35	8.1%	0.43	15	6	21	28.6	28.6	5.7%	34.3%	5.7%	0.0%	22.9%	5.0
Jeff Teague	ATL	74	13	1.0%	1.08	14	5	7	71.4	71.4	23.1%	30.8%	23.1%	7.7%	53.8%	94.5
Andrea Bargnani	BKN	45	14	4.3%	1.00	14	3	9	33.3	33.3	35.7%	7.1%	21.4%	7.1%	50.0%	87.2
David Lee	DAL	18	14	8.8%	1.00	14	6	11	54.5	54.5	7.1%	14.3%	7.1%	0.0%	50.0%	87.2
Kevin Martin	MIN	39	18	4.1%	0.78	14	5	14	35.7	35.7	11.1%	11.1%	11.1%	0.0%	38.9%	35.8
Vince Carter	MEM	54	21	6.0%	0.67	14	5	15	33.3	33.3	14.3%	19.0%	14.3%	4.8%	33.3%	18.6
Trevor Booker	UTA	73	17	3.5%	0.76	13	5	12	41.7	41.7	11.8%	23.5%	5.9%	5.9%	35.3%	33.0
Lance Stephenson	MEM	21	17	5.3%	0.76	13	5	13	38.5	38.5	17.6%	11.8%	17.6%	5.9%	41.2%	33.0
Willie Cauley-Stein	SAC	59	23	6.0%	0.57	13	6	17	35.3	35.3	4.3%	21.7%	4.3%	0.0%	30.4%	12.3
Omri Casspi	SAC	69	10	1.3%	1.20	12	3	6	50.0	50.0	30.0%	10.0%	30.0%	0.0%	60.0%	98.2
Dewayne Dedmon	ORL	48	13	6.0%	0.92	12	6	12	50.0	50.0	0.0%	7.7%	0.0%	0.0%	46.2%	74.7
Willie Reed	BKN	34	14	8.4%	0.86	12	5	10	50.0	50.0	21.4%	7.1%	21.4%	0.0%	42.9%	56.9
James Johnson	TOR	54	16	5.2%	0.75	12	5	10	50.0	50.0	12.5%	25.0%	12.5%	0.0%	43.8%	31.5
Jrue Holiday	NOP	65	17	1.4%	0.71	12	6	16	37.5	37.5	0.0%	5.9%	0.0%	0.0%	35.3%	25.1
Tayshaun Prince	MIN	71	18	7.1%	0.67	12	5	16	31.3	31.3	5.6%	5.6%	5.6%	0.0%	33.3%	18.6
Cole Aldrich	LAC	51	18	6.5%	0.67	12	4	11	36.4	36.4	16.7%	22.2%	16.7%	0.0%	38.9%	18.6
Clint Capela	HOU	70	23	4.5%	0.52	12	5	15	33.3	33.3	13.0%	21.7%	4.3%	0.0%	30.4%	8.3
Andrew Bogut	GSW	66	23	6.4%	0.52	12	6	18	33.3	33.3	0.0%	21.7%	0.0%	0.0%	26.1%	8.3
Channing Frye	CLE	20	10	7.8%	1.10	11	5	9	55.6	55.6	10.0%	10.0%	10.0%	10.0%	50.0%	95.9
Trey Lyles	UTA	71	11	2.4%	1.00	11	3	6	50.0	50.0	36.4%	18.2%	9.1%	9.1%	54.5%	87.2
JJ Hickson	DEN	18	14	9.2%	0.79	11	5	12	41.7	41.7	14.3%	0.0%	7.1%	0.0%	42.9%	38.5
John Wall	WAS	76	16	0.9%	0.69	11	4	12	33.3	33.3	12.5%	18.8%	12.5%	6.3%	31.3%	22.8
Maurice Harkless	POR	71	21	4.6%	0.52	11	5	14	35.7	35.7	9.5%	23.8%	9.5%	0.0%	28.6%	9.1
Emmanuel Mudiay	DEN	63	30	2.7%	0.37	11	5	24	20.8	20.8	6.7%	13.3%	6.7%	0.0%	20.0%	2.3
