Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
Salah Mejri	DAL	22	24	23.5%	1.29	31	12	16	75.0	75.0	29.2%	8.3%	20.8%	4.2%	75.0%	92.1
Wesley Johnson	LAC	73	34	6.2%	0.91	31	12	32	37.5	48.4	0.0%	5.9%	0.0%	0.0%	35.3%	30.8
Andrew Bogut	GSW	66	35	9.7%	0.89	31	15	32	46.9	46.9	2.9%	5.7%	2.9%	0.0%	45.7%	24.3
Kevin Seraphin	NYK	45	34	14.0%	0.88	30	14	29	48.3	48.3	2.9%	11.8%	2.9%	0.0%	44.1%	23.4
Ersan Ilyasova	ORL	18	29	19.1%	1.00	29	10	27	37.0	46.3	10.3%	0.0%	10.3%	3.4%	41.4%	50.5
Otto Porter Jr.	WAS	69	22	2.8%	1.27	28	12	20	60.0	65.0	4.5%	4.5%	4.5%	0.0%	59.1%	91.0
Allen Crabbe	POR	75	23	3.1%	1.22	28	10	19	52.6	65.8	4.3%	8.7%	8.7%	0.0%	47.8%	87.4
Carmelo Anthony	NYK	69	28	1.8%	1.00	28	9	23	39.1	43.5	17.9%	0.0%	17.9%	0.0%	50.0%	50.5
Gordon Hayward	UTA	74	14	0.9%	1.93	27	8	11	72.7	90.9	28.6%	0.0%	28.6%	7.1%	78.6%	100.0
Montrezl Harrell	HOU	29	26	20.8%	1.04	27	12	19	63.2	63.2	15.4%	11.5%	15.4%	0.0%	57.7%	58.4
Josh McRoberts	MIA	37	31	18.1%	0.84	26	9	27	33.3	40.7	12.9%	6.5%	12.9%	6.5%	35.5%	18.7
Brandan Wright	MEM	12	24	33.3%	1.04	25	12	21	57.1	57.1	4.2%	8.3%	4.2%	0.0%	54.2%	58.9
Dante Cunningham	NOP	71	18	4.4%	1.33	24	10	16	62.5	65.6	11.1%	5.6%	11.1%	5.6%	61.1%	94.4
Tiago Splitter	ATL	36	32	15.9%	0.75	24	11	26	42.3	42.3	3.1%	15.6%	3.1%	0.0%	37.5%	8.9
Jonas Jerebko	BOS	70	40	11.7%	0.60	24	9	35	25.7	30.0	7.5%	7.5%	7.5%	2.5%	27.5%	3.8
Ryan Hollins	MEM	13	15	34.1%	1.53	23	10	13	76.9	76.9	20.0%	0.0%	20.0%	6.7%	80.0%	99.1
Kendrick Perkins	NOP	28	20	23.5%	1.15	23	10	13	76.9	76.9	15.0%	25.0%	15.0%	5.0%	60.0%	80.4
Channing Frye	CLE	20	19	14.7%	1.16	22	8	19	42.1	57.9	0.0%	0.0%	0.0%	0.0%	42.1%	82.2
Paul George	IND	75	22	1.2%	1.00	22	7	20	35.0	47.5	9.1%	4.5%	4.5%	4.5%	36.4%	50.5
Robert Sacre	LAL	19	22	26.5%	1.00	22	11	22	50.0	50.0	0.0%	0.0%	0.0%	0.0%	50.0%	50.5
Quincy Acy	SAC	49	28	13.2%	0.79	22	9	24	37.5	39.6	7.1%	10.7%	7.1%	3.6%	35.7%	11.7
Johnny OBryant	MIL	55	30	13.3%	0.73	22	9	26	34.6	34.6	6.7%	6.7%	6.7%	0.0%	36.7%	8.4
Giannis Antetokounmpo	MIL	74	31	2.4%	0.71	22	9	24	37.5	37.5	12.9%	12.9%	12.9%	3.2%	35.5%	7.5
Jeff Green	LAC	20	18	7.9%	1.17	21	7	15	46.7	53.3	16.7%	0.0%	16.7%	0.0%	55.6%	83.5
Khris Middleton	MIL	76	25	1.8%	0.84	21	8	24	33.3	37.5	8.0%	0.0%	8.0%	4.0%	36.0%	19.2
Adreian Payne	MIN	43	27	16.0%	0.78	21	8	22	36.4	40.9	7.4%	11.1%	7.4%	0.0%	37.0%	10.7
Kris Humphries	ATL	16	22	18.6%	0.91	20	8	19	42.1	52.6	4.5%	9.1%	4.5%	0.0%	36.4%	29.6
Harrison Barnes	GSW	60	21	3.1%	0.90	19	8	19	42.1	47.4	4.8%	9.5%	4.8%	4.8%	38.1%	28.5
Omri Casspi	SAC	69	22	2.8%	0.86	19	7	18	38.9	41.7	22.7%	4.5%	22.7%	9.1%	40.9%	21.0
James Jones	CLE	36	10	6.9%	1.80	18	6	9	66.7	88.9	10.0%	0.0%	10.0%	0.0%	70.0%	99.5
Patrick Beverley	HOU	65	14	2.1%	1.29	18	8	14	57.1	64.3	0.0%	0.0%	0.0%	0.0%	57.1%	91.6
Chris McCullough	BKN	19	17	21.3%	1.06	18	7	15	46.7	53.3	11.8%	0.0%	11.8%	0.0%	52.9%	61.8
Jeff Green	MEM	53	23	3.3%	0.78	18	8	19	42.1	42.1	8.7%	8.7%	8.7%	0.0%	39.1%	11.2
CJ Miles	IND	59	18	2.6%	0.89	16	5	17	29.4	38.2	5.6%	0.0%	5.6%	0.0%	33.3%	24.9
Anderson Varejao	CLE	31	18	17.6%	0.89	16	8	16	50.0	50.0	0.0%	11.1%	0.0%	0.0%	44.4%	24.9
Josh Smith	HOU	18	27	14.8%	0.59	16	6	22	27.3	31.8	3.7%	14.8%	3.7%	0.0%	25.9%	3.3
Michael Beasley	HOU	14	29	14.4%	0.55	16	7	23	30.4	30.4	6.9%	17.2%	6.9%	3.4%	27.6%	1.4
Kyle Lowry	TOR	73	11	0.7%	1.36	15	5	10	50.0	65.0	9.1%	0.0%	9.1%	0.0%	54.5%	95.3
