"player_id","player_name","team_id","team_abbreviation","gp","reb","ast","tov","stl","blk","pf","playtype"
"201143","Al Horford","1610612737","ATL","76",0.140845070422535,0.330985915492958,0.669014084507042,0.507042253521127,0.126760563380282,0.830985915492958,"regular"
"201582","Alexis Ajinca","1610612740","NOP","68",0.415492957746479,0.929577464788732,0.809859154929577,0.950704225352113,0.23943661971831,0.415492957746479,"regular"
"2738","Andre Iguodala","1610612744","GSW","77",0.612676056338028,0.401408450704225,0.704225352112676,0.330985915492958,0.626760563380282,0.936619718309859,"regular"
"101106","Andrew Bogut","1610612744","GSW","67",0.0422535211267606,0.471830985915493,0.485915492957746,0.774647887323944,0.0704225352112676,0.133802816901408,"regular"
"203076","Anthony Davis","1610612740","NOP","68",0.880281690140845,0.563380281690141,0.591549295774648,0.211267605633803,0,0.457746478873239,"regular"
"203085","Austin Rivers","1610612746","LAC","76",0.795774647887324,0.612676056338028,0.880281690140845,0.774647887323944,0.809859154929577,0.626760563380282,"regular"
"2757","Beno Udrih","1610612763","MEM","79",0.929577464788732,0.443661971830986,0.73943661971831,0.774647887323944,0.950704225352113,0.971830985915493,"regular"
"201933","Blake Griffin","1610612746","LAC","67",0.0985915492957746,0.147887323943662,0.26056338028169,0.443661971830986,0.436619718309859,0.0704225352112676,"regular"
"2546","Carmelo Anthony","1610612752","NYK","40",0.190140845070423,0.366197183098592,0.26056338028169,0.443661971830986,0.52112676056338,0.415492957746479,"regular"
"2547","Chris Bosh","1610612748","MIA","44",0.154929577464789,0.563380281690141,0.323943661971831,0.507042253521127,0.345070422535211,0.830985915492958,"regular"
"101108","Chris Paul","1610612746","LAC","82",0.450704225352113,0.647887323943662,0.26056338028169,0.0563380281690141,0.809859154929577,0.246478873239437,"regular"
"201147","Corey Brewer","1610612745","HOU","80",0.563380281690141,0.563380281690141,0.436619718309859,0.246478873239437,0.809859154929577,0.415492957746479,"regular"
"201584","Courtney Lee","1610612763","MEM","77",0.76056338028169,0.633802816901408,0.809859154929577,0.443661971830986,0.809859154929577,0.76056338028169,"regular"
"203081","Damian Lillard","1610612757","POR","82",0.415492957746479,0.112676056338028,0.169014084507042,0.330985915492958,0.626760563380282,0.514084507042254,"regular"
"201967","Dante Cunningham","1610612740","NOP","66",0.549295774647887,0.894366197183099,0.964788732394366,0.669014084507042,0.345070422535211,0.830985915492958,"regular"
"101135","David Lee","1610612744","GSW","49",0.352112676056338,0.725352112676056,0.809859154929577,0.774647887323944,0.436619718309859,0.76056338028169,"regular"
"202326","DeMarcus Cousins","1610612758","SAC","59",0.816901408450704,0.253521126760563,0.00704225352112675,0.211267605633803,0.0492957746478874,0,"regular"
"203079","Dion Waiters","1610612760","OKC","80",0.73943661971831,0.612676056338028,0.591549295774648,0.387323943661972,0.626760563380282,0.514084507042254,"regular"
"1717","Dirk Nowitzki","1610612742","DAL","77",0.246478873239437,0.690140845070423,0.73943661971831,0.838028169014085,0.52112676056338,0.457746478873239,"regular"
"202700","Donatas Motiejunas","1610612745","HOU","71",0.246478873239437,0.690140845070423,0.394366197183099,0.577464788732394,0.436619718309859,0.0845070422535211,"regular"
"203110","Draymond Green","1610612744","GSW","79",0.028169014084507,0.23943661971831,0.436619718309859,0.161971830985915,0.126760563380282,0.0422535211267606,"regular"
"2730","Dwight Howard","1610612745","HOU","41",0.852112676056338,0.809859154929577,0.140845070422535,0.669014084507042,0.126760563380282,0.0140845070422535,"regular"
"2548","Dwyane Wade","1610612748","MIA","62",0.591549295774648,0.183098591549296,0.0845070422535211,0.330985915492958,0.626760563380282,0.76056338028169,"regular"
"201569","Eric Gordon","1610612740","NOP","61",0.711267605633803,0.21830985915493,0.373239436619718,0.577464788732394,0.809859154929577,0.295774647887324,"regular"
"203084","Harrison Barnes","1610612744","GSW","82",0.323943661971831,0.78169014084507,0.880281690140845,0.577464788732394,0.809859154929577,0.711267605633803,"regular"
"202697","Iman Shumpert","1610612739","CLE","62",0.577464788732394,0.563380281690141,0.52112676056338,0.28169014084507,0.626760563380282,0.352112676056338,"regular"
"2747","J.R. Smith","1610612739","CLE","70",0.669014084507042,0.443661971830986,0.591549295774648,0.330985915492958,0.626760563380282,0.295774647887324,"regular"
"201935","James Harden","1610612745","HOU","81",0.302816901408451,0.0492957746478874,0.0352112676056338,0.0563380281690141,0.23943661971831,0.204225352112676,"regular"
"2592","James Jones","1610612739","CLE","57",0.985915492957746,0.985915492957746,0.985915492957746,0.985915492957746,0.950704225352113,0.957746478873239,"regular"
"1891","Jason Terry","1610612745","HOU","77",0.943661971830986,0.690140845070423,0.809859154929577,0.507042253521127,0.626760563380282,0.880281690140845,"regular"
"201145","Jeff Green","1610612763","MEM","78",0.5,0.746478873239437,0.591549295774648,0.669014084507042,0.52112676056338,0.626760563380282,"regular"
"201952","Jeff Teague","1610612737","ATL","73",0.711267605633803,0.0492957746478874,0.140845070422535,0.126760563380282,0.52112676056338,0.626760563380282,"regular"
"202710","Jimmy Butler","1610612741","CHI","65",0.267605633802817,0.330985915492958,0.591549295774648,0.0985915492957746,0.345070422535211,0.76056338028169,"regular"
"202322","John Wall","1610612764","WAS","79",0.415492957746479,0.661971830985915,0.0563380281690141,0.0985915492957746,0.345070422535211,0.352112676056338,"regular"
"202720","Jon Leuer","1610612763","MEM","63",0.640845070422535,0.929577464788732,0.943661971830986,0.950704225352113,0.950704225352113,0.908450704225352,"regular"
"2746","Josh Smith","1610612745","HOU","83",0.211267605633803,0.295774647887324,0.197183098591549,0.387323943661972,0.0985915492957746,0.133802816901408,"regular"
