player_id,player_name,team_id,team_abbreviation,gp,reb,ast,tov,stl,blk,pf,type
201143,Al Horford,1610612737,ATL,16,8.7,3.7,1.6,0.8,1.5,2.2,playoff
201582,Alexis Ajinca,1610612740,NOP,3,0.3,0.3,0,0.3,0,0.7,playoff
2738,Andre Iguodala,1610612744,GSW,21,4.5,3.6,0.7,1.2,0.3,2,playoff
101106,Andrew Bogut,1610612744,GSW,19,8.2,1.9,1.4,0.6,1.8,3.7,playoff
203076,Anthony Davis,1610612740,NOP,4,11.1,2,3.3,1.3,3,3,playoff
203085,Austin Rivers,1610612746,LAC,14,1.7,1.2,0.9,0.7,0.3,2,playoff
2757,Beno Udrih,1610612763,MEM,10,2,2.1,0.4,0.5,0,1.6,playoff
201933,Blake Griffin,1610612746,LAC,14,12.9,6.2,3.3,1,1,3.1,playoff
101108,Chris Paul,1610612746,LAC,12,4.5,8.9,2.2,1.9,0.3,3.1,playoff
201147,Corey Brewer,1610612745,HOU,17,2.8,1.1,0.9,0.7,0.2,2.9,playoff
201584,Courtney Lee,1610612763,MEM,11,2.6,2.2,1.2,1.1,0,2.2,playoff
203081,Damian Lillard,1610612757,POR,5,4.1,4.7,2.4,0.4,0.6,3,playoff
201967,Dante Cunningham,1610612740,NOP,4,4.6,0.5,0,0.8,1,1.8,playoff
101135,David Lee,1610612744,GSW,13,2.6,0.6,0.2,0.2,0.2,1.3,playoff
1717,Dirk Nowitzki,1610612742,DAL,5,10.5,2.4,2,0.4,0.4,3.2,playoff
203110,Draymond Green,1610612744,GSW,21,10.2,5.3,2.8,1.8,1.2,4.3,playoff
2730,Dwight Howard,1610612745,HOU,17,14.2,1.2,2.2,1.4,2.3,3.6,playoff
201569,Eric Gordon,1610612740,NOP,4,2.3,3.8,2.5,0.5,0.5,2.8,playoff
203084,Harrison Barnes,1610612744,GSW,21,5.3,1.5,1.1,0.8,0.5,2.2,playoff
202697,Iman Shumpert,1610612739,CLE,20,5,1.2,0.7,1.3,0.8,2.5,playoff
2747,J.R. Smith,1610612739,CLE,18,4.8,1.2,0.8,1,0.6,3,playoff
201935,James Harden,1610612745,HOU,17,5.8,7.6,4.6,1.7,0.4,2.9,playoff
2592,James Jones,1610612739,CLE,20,1.5,0.5,0.3,0.4,0.2,2.1,playoff
1891,Jason Terry,1610612745,HOU,17,2.3,2.9,1.2,0.9,0.1,2.7,playoff
201145,Jeff Green,1610612763,MEM,11,4.8,1.8,1.5,0.5,0.5,1.7,playoff
201952,Jeff Teague,1610612737,ATL,16,3.2,6.8,2.7,1.5,0.4,2.2,playoff
202710,Jimmy Butler,1610612741,CHI,12,5.7,3.2,1.8,2.4,0.8,2.3,playoff
202322,John Wall,1610612764,WAS,7,4.8,12,3.9,1.4,1.4,1.9,playoff
202720,Jon Leuer,1610612763,MEM,4,1.3,0,0,0,0,0.3,playoff
2746,Josh Smith,1610612745,HOU,17,5.7,2.7,2.3,0.5,1,2.4,playoff
201950,Jrue Holiday,1610612740,NOP,3,1,4.4,1.7,0.7,0.3,1,playoff
203200,Justin Holiday,1610612744,GSW,5,0.2,0.2,0.4,0,0,0.2,playoff
201567,Kevin Love,1610612739,CLE,4,7.1,2.5,1.5,0.3,0.5,3,playoff
202691,Klay Thompson,1610612744,GSW,21,3.9,2.6,2,0.8,0.9,3.1,playoff
201585,Kosta Koufos,1610612763,MEM,11,3.6,0.4,0.1,0.4,0.6,1.3,playoff
2594,Kyle Korver,1610612737,ATL,14,5.1,2.4,1.5,1.4,1.1,2,playoff
200768,Kyle Lowry,1610612761,TOR,4,5.6,4.8,3,1.3,0,4.6,playoff
202681,Kyrie Irving,1610612739,CLE,13,3.7,3.9,1.6,1.3,0.9,2.3,playoff
200746,LaMarcus Aldridge,1610612757,POR,5,11.3,1.8,1.6,0.4,2.4,3.2,playoff
2544,LeBron James,1610612739,CLE,20,11.4,8.6,4.2,1.7,1.1,2.9,playoff
2571,Leandro Barbosa,1610612744,GSW,21,1.3,0.9,0.6,0.3,0,1.2,playoff
201188,Marc Gasol,1610612763,MEM,11,10.4,4.5,1.5,0.9,1.8,3,playoff
201578,Marreese Speights,1610612744,GSW,10,2.1,0.4,0.4,0.4,0.3,1.4,playoff
203521,Matthew Dellavedova,1610612739,CLE,20,2.1,2.7,1.8,0.5,0,2.6,playoff
201144,Mike Conley,1610612763,MEM,8,1.1,5.1,1.5,1.4,0,1.3,playoff
202708,Norris Cole,1610612740,NOP,4,1.8,1.8,2,0,0.3,3.8,playoff
201600,Omer Asik,1610612740,NOP,4,7.3,1.5,1.3,1.3,0,2.5,playoff
2200,Pau Gasol,1610612741,CHI,10,9.5,3.1,2.1,0.5,2.1,1.8,playoff
200794,Paul Millsap,1610612737,ATL,16,8.8,3.5,2.2,1.6,0.9,3.3,playoff
201583,Ryan Anderson,1610612740,NOP,4,4.3,2.3,1,0,0.5,3,playoff
2733,Shaun Livingston,1610612744,GSW,21,2.5,1.8,1,0.4,0.2,1.5,playoff
201939,Stephen Curry,1610612744,GSW,21,5.1,6.5,4,1.9,0.1,2.3,playoff
203093,Terrence Jones,1610612745,HOU,17,4.8,1,1,0.5,0.7,1.8,playoff
1495,Tim Duncan,1610612759,SAS,7,11.3,3.3,1,1.3,1.4,3.8,playoff
202389,Timofey Mozgov,1610612739,CLE,20,7.4,0.7,1.9,0.4,1.8,2.9,playoff
2754,Tony Allen,1610612763,MEM,10,5.3,1.5,1.3,2.4,1.1,2.7,playoff
2772,Trevor Ariza,1610612745,HOU,17,6.5,2.6,1.4,1.8,0.1,3,playoff
202684,Tristan Thompson,1610612739,CLE,20,10.9,0.5,0.8,0.3,1.2,2.5,playoff
201936,Tyreke Evans,1610612740,NOP,4,5.1,5.1,1.5,1.3,0.3,2.5,playoff
1713,Vince Carter,1610612763,MEM,11,4.3,1,0.6,0.6,0.2,1.6,playoff
2216,Zach Randolph,1610612763,MEM,11,8.6,2.1,2.1,0.6,0,3.4,playoff
201143,Al Horford,1610612737,ATL,76,7.3,3.3,1.3,0.9,1.3,1.6,regular
201582,Alexis Ajinca,1610612740,NOP,68,4.7,0.7,1,0.3,0.8,2.2,regular
2738,Andre Iguodala,1610612744,GSW,77,3.4,3,1.2,1.2,0.3,1.3,regular
101106,Andrew Bogut,1610612744,GSW,67,8.2,2.7,1.6,0.6,1.7,2.8,regular
203076,Anthony Davis,1610612740,NOP,68,10.4,2.2,1.4,1.5,3,2.1,regular
203085,Austin Rivers,1610612746,LAC,76,2,2.1,0.9,0.6,0.2,1.9,regular
2757,Beno Udrih,1610612763,MEM,79,1.8,2.8,1.1,0.6,0.1,1.1,regular
201933,Blake Griffin,1610612746,LAC,67,7.7,5.4,2.3,1,0.5,3,regular
2546,Carmelo Anthony,1610612752,NYK,40,6.7,3.1,2.3,1,0.4,2.2,regular
2547,Chris Bosh,1610612748,MIA,44,7.1,2.2,2.2,0.9,0.6,1.6,regular
101108,Chris Paul,1610612746,LAC,82,4.6,10.4,2.3,1.9,0.2,2.5,regular
201147,Corey Brewer,1610612745,HOU,80,3.8,2.2,1.7,1.4,0.2,2.2,regular
201584,Courtney Lee,1610612763,MEM,77,2.3,2,1,1,0.2,1.7,regular
203081,Damian Lillard,1610612757,POR,82,4.7,6.3,2.7,1.2,0.3,2,regular
201967,Dante Cunningham,1610612740,NOP,66,3.9,0.8,0.5,0.7,0.6,1.6,regular
101135,David Lee,1610612744,GSW,49,5.3,1.8,1,0.6,0.5,1.7,regular
202326,DeMarcus Cousins,1610612758,SAC,59,12.8,3.6,4.4,1.5,1.8,4.1,regular
203079,Dion Waiters,1610612760,OKC,80,2.4,2.1,1.4,1.1,0.3,2,regular
1717,Dirk Nowitzki,1610612742,DAL,77,6,1.9,1.1,0.5,0.4,2.1,regular
202700,Donatas Motiejunas,1610612745,HOU,71,6,1.9,1.8,0.8,0.5,2.9,regular
203110,Draymond Green,1610612744,GSW,79,8.3,3.7,1.7,1.6,1.3,3.2,regular
2730,Dwight Howard,1610612745,HOU,41,10.7,1.2,2.8,0.7,1.3,3.4,regular
2548,Dwyane Wade,1610612748,MIA,62,3.6,4.9,3.4,1.2,0.3,1.7,regular
201569,Eric Gordon,1610612740,NOP,61,2.6,3.8,2,0.8,0.2,2.4,regular
203084,Harrison Barnes,1610612744,GSW,82,5.6,1.4,0.9,0.8,0.2,1.8,regular
202697,Iman Shumpert,1610612739,CLE,62,3.7,2.2,1.5,1.3,0.3,2.3,regular
2747,J.R. Smith,1610612739,CLE,70,3.2,2.8,1.4,1.2,0.3,2.4,regular
201935,James Harden,1610612745,HOU,81,5.7,7.1,4,1.9,0.8,2.6,regular
2592,James Jones,1610612739,CLE,57,1.1,0.4,0.2,0.2,0.1,1.2,regular
1891,Jason Terry,1610612745,HOU,77,1.6,1.9,1,0.9,0.3,1.5,regular
201145,Jeff Green,1610612763,MEM,78,4.3,1.7,1.4,0.7,0.4,1.9,regular
201952,Jeff Teague,1610612737,ATL,73,2.6,7.1,2.8,1.7,0.4,1.9,regular
202710,Jimmy Butler,1610612741,CHI,65,5.9,3.3,1.4,1.8,0.6,1.7,regular
202322,John Wall,1610612764,WAS,79,4.7,10.2,3.9,1.8,0.6,2.3,regular
