
JaKarr Sampson	PHI	47	26	8.7%	1.23	32	12	17	70.6	70.6	23.1%	11.5%	11.5%	0.0%	69.2%	93.4
Corey Brewer	HOU	76	46	7.1%	0.70	32	13	37	35.1	37.8	8.7%	15.2%	6.5%	4.3%	32.6%	20.0
Ramon Sessions	WAS	76	26	3.5%	1.19	31	8	16	50.0	50.0	30.8%	7.7%	26.9%	0.0%	61.5%	90.7
Tony Snell	CHI	60	39	10.1%	0.79	31	10	31	32.3	41.9	7.7%	12.8%	7.7%	0.0%	33.3%	38.9
Gerald Henderson	POR	67	40	6.6%	0.77	31	13	32	40.6	46.9	2.5%	15.0%	5.0%	0.0%	35.0%	35.8
John Wall	WAS	76	44	2.5%	0.70	31	11	32	34.4	42.2	4.5%	22.7%	4.5%	0.0%	29.5%	21.7
Alec Burks	UTA	28	34	7.9%	0.88	30	10	24	41.7	45.8	17.6%	11.8%	14.7%	0.0%	47.1%	55.3
George Hill	IND	68	35	4.2%	0.86	30	10	26	38.5	48.1	11.4%	14.3%	8.6%	0.0%	40.0%	50.9
Ish Smith	PHI	44	36	4.4%	0.83	30	14	31	45.2	48.4	0.0%	13.9%	0.0%	0.0%	38.9%	48.0
Matthew Dellavedova	CLE	70	37	6.1%	0.81	30	10	27	37.0	50.0	5.4%	21.6%	2.7%	0.0%	32.4%	44.7
Norris Cole	NOP	45	41	7.0%	0.73	30	13	36	36.1	37.5	4.9%	7.3%	2.4%	0.0%	36.6%	27.1
Kyrie Irving	CLE	49	41	4.2%	0.73	30	10	33	30.3	31.8	9.8%	9.8%	7.3%	0.0%	34.1%	27.1
Derrick Rose	CHI	63	44	3.6%	0.68	30	15	38	39.5	39.5	4.5%	11.4%	4.5%	2.3%	34.1%	16.4
Dion Waiters	OKC	72	28	3.5%	1.04	29	10	18	55.6	63.9	17.9%	17.9%	17.9%	0.0%	53.6%	78.8
Tony Parker	SAS	67	41	4.8%	0.71	29	10	30	33.3	35.0	14.6%	14.6%	14.6%	2.4%	36.6%	22.6
Jerryd Bayless	MIL	52	49	9.0%	0.59	29	13	42	31.0	34.5	2.0%	12.2%	2.0%	0.0%	26.5%	9.3
Raymond Felton	DAL	74	22	2.8%	1.27	28	12	20	60.0	65.0	4.5%	4.5%	0.0%	0.0%	59.1%	97.3
Rodney Stuckey	IND	51	42	8.2%	0.67	28	12	34	35.3	35.3	9.5%	9.5%	7.1%	0.0%	35.7%	12.6
Joe Ingles	UTA	71	48	14.6%	0.58	28	10	39	25.6	33.3	2.1%	16.7%	0.0%	0.0%	22.9%	8.8
Jameer Nelson	DEN	39	28	7.2%	0.96	27	10	25	40.0	50.0	3.6%	7.1%	0.0%	0.0%	39.3%	69.5
Marcus Morris	DET	75	37	3.3%	0.73	27	9	27	33.3	38.9	10.8%	16.2%	13.5%	2.7%	32.4%	26.5
Nikola Mirotic	CHI	59	39	5.7%	0.69	27	8	29	27.6	41.4	5.1%	20.5%	5.1%	0.0%	23.1%	17.9
Chandler Parsons	DAL	61	40	5.0%	0.68	27	11	32	34.4	40.6	2.5%	17.5%	2.5%	0.0%	30.0%	14.6
Terrence Ross	TOR	66	36	5.9%	0.72	26	11	34	32.4	38.2	0.0%	5.6%	0.0%	0.0%	30.6%	25.7
Wayne Ellington	BKN	70	39	6.9%	0.67	26	10	34	29.4	30.9	7.7%	5.1%	7.7%	0.0%	33.3%	12.6
Shabazz Muhammad	MIN	76	35	4.5%	0.71	25	8	25	32.0	34.0	14.3%	14.3%	11.4%	0.0%	37.1%	24.0
Jason Terry	HOU	65	22	5.6%	1.09	24	8	18	44.4	61.1	4.5%	13.6%	4.5%	0.0%	40.9%	85.4
Richard Jefferson	CLE	65	24	6.7%	1.00	24	8	21	38.1	47.6	8.3%	4.2%	8.3%	0.0%	41.7%	77.2
Rajon Rondo	SAC	71	26	2.3%	0.92	24	11	24	45.8	45.8	3.8%	3.8%	3.8%	0.0%	46.2%	63.7
Rudy Gay	SAC	66	28	2.4%	0.86	24	10	22	45.5	50.0	3.6%	17.9%	3.6%	0.0%	39.3%	50.9
Austin Rivers	LAC	62	35	6.1%	0.69	24	9	29	31.0	36.2	8.6%	11.4%	5.7%	2.9%	31.4%	16.8
Thabo Sefolosha	ATL	69	19	4.1%	1.21	23	10	14	71.4	75.0	5.3%	21.1%	5.3%	0.0%	57.9%	91.6
Devin Harris	DAL	59	22	5.0%	1.05	23	7	18	38.9	50.0	13.6%	4.5%	9.1%	0.0%	45.5%	79.2
Jerami Grant	PHI	71	22	2.9%	1.00	22	8	18	44.4	44.4	18.2%	4.5%	13.6%	4.5%	50.0%	77.2
Maurice Williams	CLE	37	23	6.3%	0.96	22	8	20	40.0	50.0	4.3%	8.7%	4.3%	0.0%	39.1%	68.6
Jeff Green	MEM	53	28	4.1%	0.79	22	6	21	28.6	31.0	17.9%	7.1%	10.7%	0.0%	39.3%	38.1
Jeremy Lamb	CHA	61	31	5.5%	0.71	22	8	27	29.6	35.2	9.7%	6.5%	9.7%	3.2%	32.3%	23.5
Anthony Davis	NOP	61	14	1.0%	1.50	21	9	14	64.3	75.0	0.0%	0.0%	0.0%	0.0%	64.3%	100.0
Jonathan Simmons	SAS	51	20	6.7%	1.05	21	7	16	43.8	46.9	15.0%	5.0%	10.0%	0.0%	50.0%	80.4
Courtney Lee	MEM	51	20	4.1%	1.05	21	10	18	55.6	55.6	5.0%	5.0%	5.0%	0.0%	55.0%	80.4
Jerian Grant	NYK	70	24	5.3%	0.88	21	7	16	43.8	46.9	16.7%	16.7%	12.5%	0.0%	45.8%	54.4
