Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
Kyle O'Quinn	NYK	57	30	9.3%	1.23	37	15	23	65.2	65.2	16.7%	10.0%	16.7%	3.3%	60.0%	83.6
Jimmy Butler	CHI	60	30	2.4%	1.23	37	15	26	57.7	57.7	13.3%	0.0%	10.0%	0.0%	63.3%	83.6
Jeff Green	MEM	53	35	5.1%	1.06	37	16	29	55.2	55.2	8.6%	8.6%	8.6%	0.0%	54.3%	50.2
Jordan Clarkson	LAL	72	38	3.2%	0.97	37	14	32	43.8	43.8	13.2%	5.3%	13.2%	2.6%	47.4%	35.2
Tyler Zeller	BOS	54	39	11.1%	0.95	37	18	33	54.5	54.5	2.6%	15.4%	2.6%	2.6%	46.2%	31.3
Frank Kaminsky	CHA	73	26	4.5%	1.38	36	15	23	65.2	65.2	23.1%	0.0%	23.1%	11.5%	69.2%	96.4
Danilo Gallinari	DEN	53	34	3.5%	1.06	36	14	29	48.3	50.0	17.6%	5.9%	17.6%	8.8%	50.0%	50.7
Chris Bosh	MIA	53	29	3.0%	1.21	35	12	21	57.1	59.5	31.0%	3.4%	20.7%	6.9%	65.5%	80.1
Gordon Hayward	UTA	74	31	2.1%	1.10	34	12	23	52.2	52.2	19.4%	6.5%	16.1%	0.0%	58.1%	61.2
Jae Crowder	BOS	67	32	3.5%	1.06	34	15	29	51.7	55.2	6.3%	6.3%	6.3%	3.1%	50.0%	51.6
Dirk Nowitzki	DAL	69	32	2.6%	1.06	34	14	28	50.0	50.0	9.4%	3.1%	6.3%	0.0%	53.1%	51.6
Quincy Acy	SAC	49	31	14.6%	1.06	33	15	27	55.6	55.6	12.9%	6.5%	12.9%	6.5%	51.6%	52.3
Derrick Williams	NYK	74	26	3.9%	1.23	32	14	24	58.3	58.3	15.4%	0.0%	11.5%	7.7%	61.5%	82.5
JaVale McGee	DAL	33	34	19.9%	0.94	32	15	30	50.0	50.0	8.8%	2.9%	8.8%	0.0%	50.0%	28.9
Patrick Beverley	HOU	65	21	3.2%	1.48	31	14	20	70.0	75.0	4.8%	0.0%	0.0%	0.0%	71.4%	98.6
Jeremy Lamb	CHA	61	27	4.8%	1.15	31	15	27	55.6	55.6	3.7%	0.0%	3.7%	3.7%	55.6%	68.0
Blake Griffin	LAC	30	28	4.0%	1.11	31	14	25	56.0	56.0	7.1%	7.1%	3.6%	3.6%	53.6%	62.3
Tiago Splitter	ATL	36	30	14.9%	1.03	31	11	23	47.8	47.8	16.7%	6.7%	6.7%	0.0%	53.3%	45.2
Nick Collison	OKC	50	35	22.2%	0.89	31	14	32	43.8	43.8	8.6%	0.0%	8.6%	0.0%	48.6%	20.3
Dwight Powell	DAL	60	36	9.0%	0.86	31	11	26	42.3	42.3	19.4%	11.1%	19.4%	2.8%	47.2%	17.1
Kelly Olynyk	BOS	63	42	6.6%	0.74	31	15	39	38.5	38.5	4.8%	4.8%	4.8%	2.4%	38.1%	8.5
Nicolas Batum	CHA	66	22	2.0%	1.36	30	14	21	66.7	69.0	4.5%	0.0%	4.5%	0.0%	68.2%	96.1
Alonzo Gee	NOP	70	29	8.6%	1.03	30	12	25	48.0	48.0	17.2%	0.0%	17.2%	3.4%	55.2%	45.6
Hollis Thompson	PHI	72	30	4.1%	1.00	30	13	26	50.0	53.8	10.0%	10.0%	10.0%	6.7%	46.7%	39.2
Stanley Johnson	DET	69	32	4.5%	0.94	30	11	26	42.3	42.3	12.5%	6.3%	9.4%	0.0%	46.9%	28.2
Zach LaVine	MIN	76	16	1.4%	1.81	29	12	13	92.3	92.3	18.8%	6.3%	18.8%	6.3%	87.5%	99.6
Harrison Barnes	GSW	60	26	3.8%	1.12	29	10	20	50.0	50.0	23.1%	7.7%	23.1%	7.7%	53.8%	63.7
David Lee	DAL	18	28	17.5%	1.04	29	13	24	54.2	54.2	7.1%	10.7%	7.1%	3.6%	50.0%	45.9
Ersan Ilyasova	ORL	18	35	23.0%	0.83	29	11	28	39.3	39.3	20.0%	5.7%	20.0%	5.7%	45.7%	15.3
George Hill	IND	69	20	2.4%	1.35	27	10	17	58.8	64.7	15.0%	0.0%	15.0%	0.0%	65.0%	95.0
Kevin Durant	OKC	68	21	1.2%	1.29	27	11	16	68.8	68.8	14.3%	9.5%	14.3%	0.0%	66.7%	88.5
Kemba Walker	CHA	74	21	1.3%	1.29	27	10	17	58.8	58.8	19.0%	4.8%	19.0%	4.8%	61.9%	88.5
Kobe Bryant	LAL	59	25	2.2%	1.08	27	13	23	56.5	58.7	0.0%	8.0%	0.0%	0.0%	52.0%	55.9
Doug McDermott	CHI	74	28	4.2%	0.96	27	12	27	44.4	46.3	3.6%	0.0%	3.6%	0.0%	46.4%	33.5
Avery Bradley	BOS	71	20	1.8%	1.30	26	12	17	70.6	70.6	5.0%	10.0%	5.0%	0.0%	65.0%	91.1
Spencer Hawes	CHA	50	24	6.9%	1.08	26	11	22	50.0	50.0	8.3%	0.0%	8.3%	0.0%	54.2%	57.3
David Lee	BOS	30	27	10.7%	0.96	26	12	23	52.2	52.2	7.4%	7.4%	7.4%	0.0%	51.9%	33.1
