"","Player","team_id","team_abbreviation","person_id","Team","GP","Poss","Freq","PPP","PTS","FGM","FGA","FG.","eFG.","FT_Freq","TO_Freq","SF_Freq","And_One_Freq","Score_Freq","Percentile","type"
"773","Jared Dudley",1610612764,"WAS",201162,"WAS",75,16,0.028,0.88,14,6,10,60,60,0.125,0.25,0.063,0,0.5,0.19,8
"774","Jared Dudley",1610612764,"WAS",201162,"WAS",75,78,0.137,0.87,68,26,66,39.4,43.9,0.077,0.077,0.077,0,0.41,0.215,9
"775","Jared Dudley",1610612764,"WAS",201162,"WAS",75,251,0.442,1.14,286,105,218,48.2,61.7,0.048,0.096,0.044,0.012,0.454,0.875,10
"776","Jared Dudley",1610612764,"WAS",201162,"WAS",75,120,0.211,1.11,133,45,98,45.9,60.7,0.083,0.1,0.058,0.008,0.433,0.51,11
"777","Duje Dukan",1610612758,"SAC",1626251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"778","Tim Duncan",1610612759,"SAS",1495,"SAS",56,97,0.185,1.08,105,44,87,50.6,50.6,0.155,0.031,0.144,0.082,0.526,0.272,2
"779","Tim Duncan",1610612759,"SAS",1495,"SAS",56,61,0.117,0.25,15,3,5,60,60,0.115,0.803,0.016,0,0.164,0.13,5
"780","Tim Duncan",1610612759,"SAS",1495,"SAS",56,137,0.262,0.9,123,49,110,44.5,44.5,0.131,0.095,0.131,0.029,0.46,0.689,7
"781","Tim Duncan",1610612759,"SAS",1495,"SAS",56,42,0.08,1.36,57,25,35,71.4,71.4,0.143,0.071,0.095,0.048,0.69,0.957,8
"782","Tim Duncan",1610612759,"SAS",1495,"SAS",56,125,0.239,1.01,126,51,103,49.5,49.5,0.168,0.048,0.152,0.04,0.52,0.533,9
"783","Tim Duncan",1610612759,"SAS",1495,"SAS",56,27,0.052,0.89,24,12,25,48,48,0,0.074,0,0,0.444,0.388,10
"784","Tim Duncan",1610612759,"SAS",1495,"SAS",56,23,0.044,1.09,25,12,16,75,75,0.043,0.304,0.043,0.043,0.522,0.46,11
"785","Mike Dunleavy",1610612741,"CHI",2399,"CHI",25,11,0.056,0.18,2,1,10,10,10,0,0.091,0,0,0.091,0.004,1
"786","Mike Dunleavy",1610612741,"CHI",2399,"CHI",25,24,0.123,1.58,38,16,22,72.7,72.7,0.208,0,0.208,0.125,0.75,0.947,2
"787","Mike Dunleavy",1610612741,"CHI",2399,"CHI",25,24,0.123,0.75,18,4,15,26.7,40,0.125,0.25,0.125,0,0.292,0.314,3
"788","Mike Dunleavy",1610612741,"CHI",2399,"CHI",25,29,0.149,0.76,22,7,26,26.9,38.5,0.034,0.069,0.034,0,0.276,0.224,6
"789","Mike Dunleavy",1610612741,"CHI",2399,"CHI",25,55,0.282,1.02,56,18,48,37.5,53.1,0.055,0.073,0.055,0,0.382,0.673,10
"790","Mike Dunleavy",1610612741,"CHI",2399,"CHI",25,31,0.159,1.19,37,14,28,50,66.1,0,0.097,0,0,0.452,0.698,11
"791","Kevin Durant",1610612760,"OKC",201142,"OKC",68,333,0.193,0.94,313,103,226,45.6,51.3,0.126,0.222,0.117,0.027,0.408,0.886,1
"792","Kevin Durant",1610612760,"OKC",201142,"OKC",68,69,0.04,1.46,101,45,58,77.6,77.6,0.087,0.072,0.087,0,0.739,0.877,2
"793","Kevin Durant",1610612760,"OKC",201142,"OKC",68,38,0.022,1.24,47,16,29,55.2,58.6,0.158,0.105,0.105,0.026,0.553,0.947,3
"794","Kevin Durant",1610612760,"OKC",201142,"OKC",68,259,0.15,1.01,261,90,199,45.2,50.3,0.135,0.104,0.116,0.012,0.471,0.902,4
"795","Kevin Durant",1610612760,"OKC",201142,"OKC",68,79,0.046,0.85,67,9,23,39.1,43.5,0.329,0.38,0.013,0,0.443,0.922,5
"796","Kevin Durant",1610612760,"OKC",201142,"OKC",68,243,0.141,0.99,241,93,199,46.7,53,0.078,0.115,0.07,0.012,0.449,0.605,6
"797","Kevin Durant",1610612760,"OKC",201142,"OKC",68,144,0.084,1.25,180,69,112,61.6,61.6,0.174,0.076,0.125,0.028,0.625,0.991,7
"798","Kevin Durant",1610612760,"OKC",201142,"OKC",68,21,0.012,1.29,27,11,16,68.8,68.8,0.143,0.095,0.143,0,0.667,0.885,8
"799","Kevin Durant",1610612760,"OKC",201142,"OKC",68,96,0.056,1.05,101,39,80,48.8,54.4,0.094,0.073,0.063,0,0.5,0.603,9
"800","Kevin Durant",1610612760,"OKC",201142,"OKC",68,182,0.106,1.09,198,64,162,39.5,54.6,0.066,0.049,0.06,0.005,0.412,0.805,10
"801","Kevin Durant",1610612760,"OKC",201142,"OKC",68,259,0.15,1.29,333,118,193,61.1,70.7,0.147,0.147,0.124,0.039,0.564,0.832,11
"802","Cleanthony Early",1610612752,"NYK",203921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"803","Jarell Eddie",1610612764,"WAS",204067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"804","Wayne Ellington",1610612751,"BKN",201961,"BKN",70,101,0.178,0.83,84,34,92,37,40.2,0.059,0.04,0.05,0.01,0.386,0.661,1
"805","Wayne Ellington",1610612751,"BKN",201961,"BKN",70,25,0.044,1.44,36,15,21,71.4,71.4,0.16,0.04,0.16,0.04,0.72,0.854,2
"806","Wayne Ellington",1610612751,"BKN",201961,"BKN",70,39,0.069,0.67,26,10,34,29.4,30.9,0.077,0.051,0.077,0,0.333,0.126,3
"807","Wayne Ellington",1610612751,"BKN",201961,"BKN",70,15,0.026,0.87,13,5,13,38.5,50,0,0.133,0,0,0.333,0.636,4
"808","Wayne Ellington",1610612751,"BKN",201961,"BKN",70,22,0.039,0.23,5,1,8,12.5,12.5,0.091,0.545,0,0,0.136,0.108,5
"809","Wayne Ellington",1610612751,"BKN",201961,"BKN",70,87,0.153,0.84,73,28,80,35,42.5,0.034,0.046,0.011,0,0.356,0.39,6
"810","Wayne Ellington",1610612751,"BKN",201961,"BKN",70,176,0.31,1.03,182,65,168,38.7,53.6,0.006,0.04,0,0,0.375,0.702,10
"811","Wayne Ellington",1610612751,"BKN",201961,"BKN",70,91,0.16,1.02,93,35,79,44.3,51.9,0.077,0.066,0.055,0.011,0.451,0.315,11
"812","Monta Ellis",1610612754,"IND",101145,"IND",75,473,0.382,0.78,369,155,380,40.8,43.6,0.061,0.148,0.051,0.013,0.37,0.486,1
"813","Monta Ellis",1610612754,"IND",101145,"IND",76,24,0.019,1.33,32,14,18,77.8,77.8,0.083,0.167,0.083,0,0.667,0.721,2
"814","Monta Ellis",1610612754,"IND",101145,"IND",75,84,0.068,0.69,58,24,71,33.8,38.7,0.036,0.143,0.036,0.024,0.298,0.173,3
"815","Monta Ellis",1610612754,"IND",101145,"IND",75,88,0.071,0.77,68,29,74,39.2,40.5,0.068,0.102,0.045,0.011,0.375,0.44,4
"816","Monta Ellis",1610612754,"IND",101145,"IND",76,70,0.056,0.57,40,6,18,33.3,38.9,0.214,0.543,0.029,0.014,0.286,0.611,5
"817","Monta Ellis",1610612754,"IND",101145,"IND",76,69,0.055,0.77,53,19,54,35.2,38,0.116,0.116,0.116,0.014,0.377,0.237,6
"818","Monta Ellis",1610612754,"IND",101145,"IND",76,17,0.014,1.18,20,10,16,62.5,62.5,0,0.059,0,0,0.588,0.737,8
"819","Monta Ellis",1610612754,"IND",101145,"IND",76,183,0.146,1.01,185,65,166,39.2,50.9,0.055,0.049,0.044,0.011,0.399,0.654,10
"820","Monta Ellis",1610612754,"IND",101145,"IND",75,218,0.176,1.02,222,85,153,55.6,58.2,0.156,0.188,0.138,0.046,0.495,0.31,11
"821","Joel Embiid",1610612755,"PHI",203954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"822","James Ennis",1610612740,"NOP",203516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"823","Tyler Ennis",1610612749,"MIL",203898,"MIL",40,80,0.415,0.81,65,27,63,42.9,45.2,0.063,0.163,0.038,0.013,0.388,0.595,1
"824","Tyler Ennis",1610612749,"MIL",203898,"MIL",40,13,0.067,1,13,4,10,40,40,0.308,0,0.154,0.077,0.538,0.892,4
"825","Tyler Ennis",1610612749,"MIL",203898,"MIL",40,13,0.067,0.69,9,2,4,50,50,0.231,0.462,0,0,0.385,0.77,5
"826","Tyler Ennis",1610612749,"MIL",203898,"MIL",40,35,0.181,1.03,36,14,33,42.4,54.5,0,0.057,0,0,0.4,0.692,10
"827","Tyler Ennis",1610612749,"MIL",203898,"MIL",40,32,0.166,0.81,26,12,24,50,52.1,0.031,0.219,0,0,0.406,0.098,11
"828","Jeremy Evans",1610612742,"DAL",202379,"DAL",23,20,0.317,1.5,30,14,18,77.8,77.8,0.1,0.05,0.1,0.05,0.75,0.914,2
"829","Jeremy Evans",1610612742,"DAL",202379,"DAL",23,10,0.159,1.4,14,5,8,62.5,75,0.4,0,0.3,0.2,0.7,0.967,9
"830","Jeremy Evans",1610612742,"DAL",202379,"DAL",23,13,0.206,0.85,11,3,11,27.3,36.4,0.154,0,0.077,0,0.385,0.314,10
"831","Tyreke Evans",1610612740,"NOP",201936,"NOP",25,166,0.39,0.84,140,51,124,41.1,47.2,0.096,0.169,0.072,0.012,0.386,0.693,1
"832","Tyreke Evans",1610612740,"NOP",201936,"NOP",25,29,0.068,0.66,19,8,23,34.8,37,0.034,0.172,0,0,0.31,0.115,3
"833","Tyreke Evans",1610612740,"NOP",201936,"NOP",25,74,0.174,0.77,57,19,59,32.2,34.7,0.162,0.081,0.122,0.041,0.365,0.436,4
"834","Tyreke Evans",1610612740,"NOP",201936,"NOP",25,23,0.054,0.43,10,3,8,37.5,37.5,0.13,0.522,0,0,0.261,0.396,5
"835","Tyreke Evans",1610612740,"NOP",201936,"NOP",25,10,0.023,1,10,5,9,55.6,55.6,0,0.1,0,0,0.5,0.392,8
"836","Tyreke Evans",1610612740,"NOP",201936,"NOP",25,48,0.113,1.23,59,19,43,44.2,59.3,0.104,0,0.104,0,0.5,0.945,10
"837","Tyreke Evans",1610612740,"NOP",201936,"NOP",25,62,0.146,1.06,66,26,38,68.4,71.1,0.113,0.258,0.129,0,0.532,0.41,11
"838","Dante Exum",1610612762,"UTA",203957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"839","Festus Ezeli",1610612744,"GSW",203105,"GSW",40,91,0.302,1.29,117,51,75,68,68,0.187,0.044,0.176,0.055,0.681,0.651,2
"840","Festus Ezeli",1610612744,"GSW",203105,"GSW",40,30,0.1,0.53,16,2,4,50,50,0.333,0.533,0,0,0.333,0.557,5
"841","Festus Ezeli",1610612744,"GSW",203105,"GSW",40,66,0.219,0.71,47,19,49,38.8,38.8,0.167,0.121,0.167,0.045,0.394,0.265,7
"842","Festus Ezeli",1610612744,"GSW",203105,"GSW",40,45,0.15,0.93,42,13,29,44.8,44.8,0.289,0.089,0.267,0.022,0.511,0.278,8
"843","Festus Ezeli",1610612744,"GSW",203105,"GSW",40,46,0.153,1.02,47,19,33,57.6,57.6,0.239,0.043,0.217,0,0.565,0.556,9
"844","Festus Ezeli",1610612744,"GSW",203105,"GSW",40,18,0.06,1.39,25,10,13,76.9,76.9,0.278,0.111,0.222,0.111,0.722,0.938,11
"845","Kenneth Faried",1610612743,"DEN",202702,"DEN",63,165,0.21,1.16,191,81,135,60,60,0.188,0.055,0.164,0.061,0.6,0.415,2
"846","Kenneth Faried",1610612743,"DEN",202702,"DEN",63,17,0.022,0.47,8,4,15,26.7,26.7,0,0.118,0,0,0.235,0.062,4
"847","Kenneth Faried",1610612743,"DEN",202702,"DEN",63,72,0.092,0.49,35,8,21,38.1,38.1,0.208,0.5,0,0,0.319,0.482,5
"848","Kenneth Faried",1610612743,"DEN",202702,"DEN",63,90,0.115,0.93,84,34,69,49.3,49.3,0.133,0.133,0.111,0.033,0.478,0.772,7
"849","Kenneth Faried",1610612743,"DEN",202702,"DEN",63,165,0.21,1.08,178,79,145,54.5,54.5,0.115,0.042,0.109,0.036,0.545,0.555,8
"850","Kenneth Faried",1610612743,"DEN",202702,"DEN",63,126,0.161,1.14,144,61,98,62.2,62.2,0.183,0.071,0.183,0.032,0.595,0.793,9
"851","Kenneth Faried",1610612743,"DEN",202702,"DEN",63,40,0.051,0.6,24,11,34,32.4,32.4,0.075,0.1,0.05,0.025,0.325,0.051,10
"852","Kenneth Faried",1610612743,"DEN",202702,"DEN",63,106,0.135,1.35,143,60,81,74.1,74.1,0.189,0.113,0.189,0.066,0.67,0.915,11
"853","Jordan Farmar",1610612763,"MEM",200770,"MEM",6,21,0.328,1.24,26,10,19,52.6,63.2,0.048,0.048,0,0,0.524,0.993,1
"854","Jordan Farmar",1610612763,"MEM",200770,"MEM",6,13,0.203,0.85,11,4,13,30.8,42.3,0,0,0,0,0.308,0.314,10
"855","Derrick Favors",1610612762,"UTA",202324,"UTA",58,213,0.218,1.27,270,112,174,64.4,64.4,0.174,0.07,0.169,0.061,0.638,0.623,2
"856","Derrick Favors",1610612762,"UTA",202324,"UTA",58,25,0.026,0.84,21,10,21,47.6,47.6,0.04,0.12,0.04,0,0.44,0.575,4
"857","Derrick Favors",1610612762,"UTA",202324,"UTA",58,57,0.058,0.37,21,6,11,54.5,54.5,0.158,0.667,0.018,0.018,0.228,0.29,5
"858","Derrick Favors",1610612762,"UTA",202324,"UTA",58,222,0.227,0.85,189,78,179,43.6,43.6,0.122,0.099,0.104,0.027,0.441,0.539,7
"859","Derrick Favors",1610612762,"UTA",202324,"UTA",58,86,0.088,1.29,111,44,69,63.8,63.8,0.209,0.023,0.151,0.035,0.686,0.893,8
"860","Derrick Favors",1610612762,"UTA",202324,"UTA",58,221,0.226,1.1,244,98,179,54.7,54.7,0.167,0.068,0.145,0.045,0.552,0.71,9
"861","Derrick Favors",1610612762,"UTA",202324,"UTA",58,105,0.108,0.65,68,31,100,31,31,0.038,0.01,0.029,0,0.333,0.094,10
"862","Derrick Favors",1610612762,"UTA",202324,"UTA",58,34,0.035,1.09,37,15,28,53.6,53.6,0.147,0.088,0.118,0.059,0.529,0.468,11
"863","Cristiano Felicio",1610612741,"CHI",1626245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"864","Raymond Felton",1610612742,"DAL",101109,"DAL",74,352,0.444,0.79,277,113,271,41.7,43.2,0.082,0.165,0.065,0.017,0.386,0.511,1
"865","Raymond Felton",1610612742,"DAL",101109,"DAL",74,15,0.019,1.47,22,11,15,73.3,73.3,0.067,0,0.067,0.067,0.733,0.886,2
"866","Raymond Felton",1610612742,"DAL",101109,"DAL",74,22,0.028,1.27,28,12,20,60,65,0.045,0.045,0,0,0.591,0.973,3
"867","Raymond Felton",1610612742,"DAL",101109,"DAL",74,73,0.092,0.85,62,21,62,33.9,37.9,0.123,0.055,0.11,0.027,0.384,0.596,4
"868","Raymond Felton",1610612742,"DAL",101109,"DAL",74,49,0.062,0.86,42,4,9,44.4,44.4,0.388,0.429,0.02,0,0.449,0.936,5
"869","Raymond Felton",1610612742,"DAL",101109,"DAL",74,19,0.024,0.79,15,6,19,31.6,39.5,0,0,0,0,0.316,0.285,6
"870","Raymond Felton",1610612742,"DAL",101109,"DAL",74,183,0.231,0.91,167,61,166,36.7,47.3,0.044,0.055,0.027,0.005,0.372,0.457,10
"871","Raymond Felton",1610612742,"DAL",101109,"DAL",74,74,0.093,1,74,24,53,45.3,48.1,0.189,0.122,0.135,0.027,0.486,0.274,11
"872","Evan Fournier",1610612753,"ORL",203095,"ORL",73,236,0.224,0.79,186,72,185,38.9,42.4,0.081,0.148,0.068,0.013,0.373,0.518,1
"873","Evan Fournier",1610612753,"ORL",203095,"ORL",73,44,0.042,1.32,58,22,34,64.7,64.7,0.227,0.091,0.227,0.091,0.636,0.693,2
"874","Evan Fournier",1610612753,"ORL",203095,"ORL",73,89,0.085,0.91,81,31,72,43.1,47.9,0.09,0.124,0.09,0.034,0.404,0.615,3
"875","Evan Fournier",1610612753,"ORL",203095,"ORL",73,56,0.053,0.95,53,17,41,41.5,46.3,0.161,0.143,0.125,0.036,0.429,0.767,4
"876","Evan Fournier",1610612753,"ORL",203095,"ORL",73,47,0.045,0.62,29,7,18,38.9,38.9,0.234,0.404,0.043,0.021,0.362,0.67,5
"877","Evan Fournier",1610612753,"ORL",203095,"ORL",73,128,0.122,1.05,134,52,110,47.3,56.4,0.055,0.094,0.055,0.008,0.453,0.75,6
"878","Evan Fournier",1610612753,"ORL",203095,"ORL",73,15,0.014,1.2,18,6,12,50,50,0.2,0,0.133,0,0.6,0.784,8
"879","Evan Fournier",1610612753,"ORL",203095,"ORL",73,263,0.25,1.1,290,97,239,40.6,55.9,0.053,0.049,0.046,0.011,0.411,0.832,10
"880","Evan Fournier",1610612753,"ORL",203095,"ORL",73,167,0.159,1.32,221,78,126,61.9,72.2,0.168,0.096,0.126,0.018,0.611,0.873,11
"881","Randy Foye",1610612760,"OKC",200751,"DEN",54,144,0.355,0.81,117,45,114,39.5,45.6,0.063,0.16,0.063,0.014,0.354,0.595,1
"882","Randy Foye",1610612760,"OKC",200751,"OKC",21,20,0.148,0.8,16,7,13,53.8,57.7,0.05,0.25,0.1,0,0.4,0.556,1
"883","Randy Foye",1610612760,"OKC",200751,"DEN",54,26,0.064,0.69,18,8,15,53.3,56.7,0.038,0.385,0.038,0,0.346,0.179,3
"884","Randy Foye",1610612760,"OKC",200751,"DEN",54,30,0.074,0.6,18,8,28,28.6,32.1,0,0.067,0,0,0.267,0.165,4
"885","Randy Foye",1610612760,"OKC",200751,"DEN",54,20,0.049,0.55,11,2,6,33.3,33.3,0.2,0.5,0,0,0.3,0.594,5
"886","Randy Foye",1610612760,"OKC",200751,"DEN",54,16,0.039,0.56,9,4,15,26.7,30,0,0.063,0,0,0.25,0.066,6
"887","Randy Foye",1610612760,"OKC",200751,"DEN",54,122,0.3,0.87,106,37,117,31.6,44,0.016,0.033,0.016,0.008,0.311,0.368,10
"888","Randy Foye",1610612760,"OKC",200751,"OKC",21,59,0.437,0.85,50,18,58,31,43.1,0,0.017,0,0,0.305,0.322,10
"889","Randy Foye",1610612760,"OKC",200751,"DEN",54,40,0.099,0.75,30,8,29,27.6,32.8,0.175,0.125,0.15,0.025,0.35,0.068,11
"890","Randy Foye",1610612760,"OKC",200751,"OKC",21,21,0.156,0.57,12,4,16,25,28.1,0.143,0.143,0.143,0.048,0.286,0.018,11
"891","Tim Frazier",1610612740,"NOP",204025,"NOP",9,52,0.437,1.06,55,20,37,54.1,56.8,0.154,0.192,0.115,0.058,0.481,0.961,1
"892","Tim Frazier",1610612740,"NOP",204025,"NOP",9,12,0.101,1,12,3,7,42.9,57.1,0.25,0.167,0.167,0,0.5,0.892,4
"893","Tim Frazier",1610612740,"NOP",204025,"NOP",9,15,0.126,0.6,9,3,10,30,35,0.133,0.2,0,0,0.267,0.051,10
"894","Tim Frazier",1610612740,"NOP",204025,"NOP",9,22,0.185,0.73,16,7,17,41.2,41.2,0.136,0.182,0.091,0.091,0.364,0.048,11
"895","Jimmer Fredette",0,"",202690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"896","Channing Frye",1610612739,"CLE",101112,"ORL",44,12,0.054,1.75,21,7,9,77.8,77.8,0.417,0,0.333,0.167,0.833,0.997,2
"897","Channing Frye",1610612739,"CLE",101112,"ORL",44,20,0.09,0.55,11,2,2,100,100,0.2,0.7,0,0,0.3,0.594,5
"898","Channing Frye",1610612739,"CLE",101112,"ORL",44,22,0.099,0.55,12,4,20,20,30,0,0.091,0,0,0.182,0.044,6
"899","Channing Frye",1610612739,"CLE",101112,"CLE",20,10,0.078,1.1,11,5,9,55.6,55.6,0.1,0.1,0.1,0.1,0.5,0.959,7
"900","Channing Frye",1610612739,"CLE",101112,"ORL",44,12,0.054,0.83,10,4,7,57.1,57.1,0.083,0.333,0.083,0,0.417,0.486,7
"901","Channing Frye",1610612739,"CLE",101112,"ORL",44,12,0.054,0.83,10,5,12,41.7,41.7,0,0,0,0,0.417,0.158,8
"902","Channing Frye",1610612739,"CLE",101112,"ORL",44,46,0.206,1.15,53,18,40,45,62.5,0.022,0.109,0.022,0,0.413,0.808,9
"903","Channing Frye",1610612739,"CLE",101112,"CLE",20,19,0.147,1.16,22,8,19,42.1,57.9,0,0,0,0,0.421,0.822,9
"904","Channing Frye",1610612739,"CLE",101112,"ORL",44,80,0.359,1.04,83,30,79,38,52.5,0,0.013,0,0,0.375,0.714,10
"905","Channing Frye",1610612739,"CLE",101112,"CLE",20,66,0.512,1.26,83,28,63,44.4,64.3,0.03,0.015,0.03,0,0.455,0.962,10
"906","Channing Frye",1610612739,"CLE",101112,"ORL",44,16,0.072,1.56,25,9,15,60,83.3,0,0.063,0,0,0.563,0.987,11
"907","Channing Frye",1610612739,"CLE",101112,"CLE",20,13,0.101,1.15,15,6,13,46.2,57.7,0,0,0,0,0.462,0.617,11
"908","Danilo Gallinari",1610612743,"DEN",201568,"DEN",53,116,0.12,0.81,94,24,68,35.3,39,0.207,0.216,0.164,0.017,0.388,0.582,1
"909","Danilo Gallinari",1610612743,"DEN",201568,"DEN",53,52,0.054,1.42,74,23,34,67.6,67.6,0.365,0.038,0.327,0.058,0.712,0.815,2
"910","Danilo Gallinari",1610612743,"DEN",201568,"DEN",53,64,0.066,1.11,71,22,47,46.8,57.4,0.156,0.109,0.109,0,0.5,0.876,3
"911","Danilo Gallinari",1610612743,"DEN",201568,"DEN",53,183,0.189,0.85,155,44,136,32.4,33.1,0.202,0.071,0.169,0.022,0.421,0.589,4
"912","Danilo Gallinari",1610612743,"DEN",201568,"DEN",53,51,0.053,0.92,47,5,20,25,30,0.431,0.176,0.059,0,0.529,0.967,5
"913","Danilo Gallinari",1610612743,"DEN",201568,"DEN",53,46,0.047,1.15,53,11,33,33.3,42.4,0.283,0.022,0.217,0.022,0.5,0.882,6
"914","Danilo Gallinari",1610612743,"DEN",201568,"DEN",53,82,0.085,1.11,91,28,57,49.1,49.1,0.28,0.073,0.232,0.049,0.549,0.963,7
"915","Danilo Gallinari",1610612743,"DEN",201568,"DEN",53,34,0.035,1.06,36,14,29,48.3,50,0.176,0.059,0.176,0.088,0.5,0.507,8
"916","Danilo Gallinari",1610612743,"DEN",201568,"DEN",53,39,0.04,1.26,49,14,29,48.3,56.9,0.282,0.026,0.282,0.051,0.59,0.897,9
"917","Danilo Gallinari",1610612743,"DEN",201568,"DEN",53,206,0.213,0.96,198,63,180,35,46.4,0.087,0.039,0.083,0,0.388,0.548,10
"918","Danilo Gallinari",1610612743,"DEN",201568,"DEN",53,96,0.099,1.54,148,38,64,59.4,71.1,0.323,0.031,0.25,0.021,0.698,0.975,11
"919","Langston Galloway",1610612752,"NYK",204038,"NYK",77,113,0.177,0.76,86,34,92,37,40.2,0.08,0.115,0.044,0.009,0.363,0.461,1
"920","Langston Galloway",1610612752,"NYK",204038,"NYK",77,32,0.05,1.34,43,19,28,67.9,67.9,0.156,0,0.188,0.063,0.688,0.728,2
"921","Langston Galloway",1610612752,"NYK",204038,"NYK",77,50,0.078,0.84,42,18,44,40.9,45.5,0.02,0.1,0,0,0.38,0.489,3
"922","Langston Galloway",1610612752,"NYK",204038,"NYK",77,28,0.044,0.71,20,6,22,27.3,34.1,0.143,0.071,0.143,0,0.321,0.304,4
"923","Langston Galloway",1610612752,"NYK",204038,"NYK",77,39,0.061,0.54,21,5,15,33.3,36.7,0.154,0.462,0,0,0.282,0.569,5
"924","Langston Galloway",1610612752,"NYK",204038,"NYK",77,40,0.063,0.77,31,12,36,33.3,37.5,0.05,0.05,0.05,0,0.35,0.254,6
"925","Langston Galloway",1610612752,"NYK",204038,"NYK",77,16,0.025,1.19,19,9,14,64.3,67.9,0,0.125,0,0,0.563,0.75,8
"926","Langston Galloway",1610612752,"NYK",204038,"NYK",77,175,0.274,0.95,166,58,172,33.7,46.8,0.017,0.006,0.017,0.006,0.343,0.529,10
"927","Langston Galloway",1610612752,"NYK",204038,"NYK",77,145,0.227,1.06,154,56,114,49.1,53.9,0.159,0.103,0.152,0.048,0.483,0.405,11
"928","Kevin Garnett",1610612750,"MIN",708,"MIN",38,13,0.093,0.85,11,4,11,36.4,36.4,0.231,0,0.154,0.077,0.385,0.029,2
"929","Kevin Garnett",1610612750,"MIN",708,"MIN",38,17,0.121,0.24,4,0,0,0,0,0.176,0.824,0,0,0.176,0.116,5
"930","Kevin Garnett",1610612750,"MIN",708,"MIN",38,26,0.186,0.92,24,10,24,41.7,41.7,0.077,0,0.077,0,0.462,0.747,7
"931","Kevin Garnett",1610612750,"MIN",708,"MIN",38,28,0.2,1.21,34,17,27,63,63,0,0.036,0,0,0.607,0.869,9
"932","Kevin Garnett",1610612750,"MIN",708,"MIN",38,36,0.257,0.83,30,15,36,41.7,41.7,0,0,0,0,0.417,0.278,10
"933","Kevin Garnett",1610612750,"MIN",708,"MIN",38,13,0.093,1.08,14,6,10,60,60,0.154,0.077,0.154,0,0.538,0.426,11
"934","Marc Gasol",1610612763,"MEM",201188,"MEM",52,77,0.082,1.26,97,41,64,64.1,64.1,0.117,0.052,0.091,0,0.649,0.611,2
"935","Marc Gasol",1610612763,"MEM",201188,"MEM",52,52,0.056,0.88,46,20,44,45.5,45.5,0.077,0.096,0.058,0.019,0.442,0.668,4
"936","Marc Gasol",1610612763,"MEM",201188,"MEM",52,63,0.067,0.48,30,2,5,40,40,0.27,0.651,0,0,0.302,0.465,5
"937","Marc Gasol",1610612763,"MEM",201188,"MEM",52,13,0.014,0.77,10,5,11,45.5,45.5,0,0.154,0,0,0.385,0.242,6
"938","Marc Gasol",1610612763,"MEM",201188,"MEM",52,376,0.402,0.89,334,114,276,41.3,41.3,0.184,0.12,0.146,0.037,0.447,0.648,7
"939","Marc Gasol",1610612763,"MEM",201188,"MEM",52,30,0.032,0.77,23,9,22,40.9,40.9,0.167,0.1,0.033,0,0.433,0.117,8
"940","Marc Gasol",1610612763,"MEM",201188,"MEM",52,207,0.221,1.09,225,94,175,53.7,53.7,0.116,0.068,0.092,0.029,0.536,0.664,9
"941","Marc Gasol",1610612763,"MEM",201188,"MEM",52,98,0.105,0.7,69,33,91,36.3,37.4,0.01,0.061,0.01,0,0.347,0.137,10
"942","Marc Gasol",1610612763,"MEM",201188,"MEM",52,18,0.019,1.17,21,9,14,64.3,64.3,0.111,0.056,0.056,0,0.611,0.635,11
"943","Pau Gasol",1610612741,"CHI",2200,"CHI",67,85,0.071,1.14,97,38,68,55.9,55.9,0.165,0.071,0.165,0.035,0.576,0.377,2
"944","Pau Gasol",1610612741,"CHI",2200,"CHI",67,70,0.058,0.87,61,20,49,40.8,40.8,0.186,0.114,0.129,0,0.471,0.644,4
"945","Pau Gasol",1610612741,"CHI",2200,"CHI",67,109,0.091,0.48,52,3,13,23.1,23.1,0.257,0.624,0.009,0,0.275,0.468,5
"946","Pau Gasol",1610612741,"CHI",2200,"CHI",67,19,0.016,1,19,9,16,56.3,56.3,0.053,0.105,0,0,0.526,0.665,6
"947","Pau Gasol",1610612741,"CHI",2200,"CHI",67,246,0.204,0.8,197,77,192,40.1,40.1,0.13,0.13,0.114,0.041,0.402,0.429,7
"948","Pau Gasol",1610612741,"CHI",2200,"CHI",67,107,0.089,1.02,109,47,93,50.5,50.5,0.112,0.047,0.103,0.028,0.514,0.434,8
"949","Pau Gasol",1610612741,"CHI",2200,"CHI",67,249,0.207,0.95,237,100,213,46.9,47.2,0.1,0.06,0.076,0.016,0.486,0.388,9
