"","Player","team_id","team_abbreviation","person_id","Team","GP","Poss","Freq","PPP","PTS","FGM","FGA","FG.","eFG.","FT_Freq","TO_Freq","SF_Freq","And_One_Freq","Score_Freq","Percentile","type"
"341","Devin Booker",1610612756,"PHX",1626164,"PHX",69,122,0.122,0.91,111,36,110,32.7,45.5,0.049,0.049,0.041,0,0.344,0.45,10
"342","Devin Booker",1610612756,"PHX",1626164,"PHX",69,180,0.18,1.22,219,76,133,57.1,64.3,0.161,0.128,0.144,0.033,0.55,0.748,11
"343","Trevor Booker",1610612762,"UTA",202344,"UTA",73,88,0.18,1.14,100,41,74,55.4,55.4,0.148,0.057,0.148,0.045,0.557,0.371,2
"344","Trevor Booker",1610612762,"UTA",202344,"UTA",73,51,0.104,0.43,22,2,6,33.3,33.3,0.235,0.647,0,0,0.275,0.388,5
"345","Trevor Booker",1610612762,"UTA",202344,"UTA",73,17,0.035,0.76,13,5,12,41.7,41.7,0.118,0.235,0.059,0.059,0.353,0.33,7
"346","Trevor Booker",1610612762,"UTA",202344,"UTA",73,98,0.2,0.92,90,39,80,48.8,48.8,0.112,0.082,0.092,0.01,0.49,0.249,8
"347","Trevor Booker",1610612762,"UTA",202344,"UTA",73,84,0.172,0.98,82,37,68,54.4,54.4,0.095,0.119,0.095,0.024,0.488,0.446,9
"348","Trevor Booker",1610612762,"UTA",202344,"UTA",73,82,0.168,0.67,55,23,72,31.9,38.2,0,0.122,0,0,0.28,0.108,10
"349","Trevor Booker",1610612762,"UTA",202344,"UTA",73,55,0.112,1.07,59,25,38,65.8,67.1,0.127,0.182,0.109,0,0.564,0.423,11
"350","Chris Bosh",1610612748,"MIA",2547,"MIA",53,11,0.011,0.91,10,3,8,37.5,37.5,0.182,0.091,0.182,0,0.455,0.831,1
"351","Chris Bosh",1610612748,"MIA",2547,"MIA",53,44,0.046,1.48,65,22,30,73.3,73.3,0.364,0.045,0.364,0.091,0.75,0.898,2
"352","Chris Bosh",1610612748,"MIA",2547,"MIA",53,12,0.012,1.25,15,5,10,50,55,0.25,0,0.25,0.083,0.583,0.96,3
"353","Chris Bosh",1610612748,"MIA",2547,"MIA",53,129,0.134,1.12,144,52,104,50,51,0.186,0.047,0.194,0.047,0.543,0.964,4
"354","Chris Bosh",1610612748,"MIA",2547,"MIA",53,45,0.047,0.69,31,8,12,66.7,66.7,0.2,0.533,0.044,0,0.378,0.767,5
"355","Chris Bosh",1610612748,"MIA",2547,"MIA",53,72,0.075,1.18,85,31,57,54.4,56.1,0.181,0.069,0.181,0.042,0.569,0.899,6
"356","Chris Bosh",1610612748,"MIA",2547,"MIA",53,83,0.086,0.84,70,25,61,41,41,0.133,0.133,0.12,0,0.434,0.516,7
"357","Chris Bosh",1610612748,"MIA",2547,"MIA",53,29,0.03,1.21,35,12,21,57.1,59.5,0.31,0.034,0.207,0.069,0.655,0.801,8
"358","Chris Bosh",1610612748,"MIA",2547,"MIA",53,235,0.244,1.11,260,91,195,46.7,54.1,0.153,0.051,0.149,0.034,0.506,0.72,9
"359","Chris Bosh",1610612748,"MIA",2547,"MIA",53,260,0.27,0.93,242,90,236,38.1,47,0.058,0.038,0.062,0.008,0.396,0.49,10
"360","Chris Bosh",1610612748,"MIA",2547,"MIA",53,44,0.046,1.02,45,18,35,51.4,57.1,0.068,0.136,0.045,0,0.477,0.318,11
"361","Avery Bradley",1610612738,"BOS",202340,"BOS",71,150,0.135,0.77,115,50,128,39.1,42.2,0.033,0.127,0.033,0.013,0.353,0.475,1
"362","Avery Bradley",1610612738,"BOS",202340,"BOS",71,51,0.046,1.47,75,34,45,75.6,75.6,0.098,0.039,0.098,0.02,0.745,0.891,2
"363","Avery Bradley",1610612738,"BOS",202340,"BOS",71,194,0.175,0.83,161,62,159,39,44.7,0.057,0.129,0.046,0.005,0.371,0.469,3
"364","Avery Bradley",1610612738,"BOS",202340,"BOS",71,41,0.037,0.73,30,12,35,34.3,38.6,0.073,0.073,0.073,0,0.366,0.349,4
"365","Avery Bradley",1610612738,"BOS",202340,"BOS",71,43,0.039,0.79,34,9,14,64.3,71.4,0.186,0.488,0.023,0,0.395,0.886,5
"366","Avery Bradley",1610612738,"BOS",202340,"BOS",71,160,0.144,0.88,141,57,148,38.5,45.3,0.025,0.05,0.025,0,0.381,0.439,6
"367","Avery Bradley",1610612738,"BOS",202340,"BOS",71,20,0.018,1.3,26,12,17,70.6,70.6,0.05,0.1,0.05,0,0.65,0.911,8
"368","Avery Bradley",1610612738,"BOS",202340,"BOS",71,229,0.206,1.07,245,87,217,40.1,54.6,0.022,0.035,0.022,0.004,0.397,0.784,10
"369","Avery Bradley",1610612738,"BOS",202340,"BOS",71,220,0.198,1.11,245,101,189,53.4,59.8,0.059,0.086,0.059,0.005,0.514,0.517,11
"370","Elton Brand",1610612755,"PHI",1882,"PHI",14,23,0.303,0.96,22,9,20,45,45,0.087,0.043,0.087,0,0.478,0.108,2
"371","Elton Brand",1610612755,"PHI",1882,"PHI",13,21,0.3,0.62,13,6,19,31.6,31.6,0.048,0.095,0.048,0.048,0.286,0.047,9
"372","Elton Brand",1610612755,"PHI",1882,"PHI",14,12,0.158,0.83,10,5,11,45.5,45.5,0,0.083,0,0,0.417,0.278,10
"373","Corey Brewer",1610612745,"HOU",201147,"HOU",76,31,0.048,0.52,16,7,17,41.2,41.2,0.032,0.419,0.032,0,0.258,0.107,1
