Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
Luke Babbitt	NOP	36	24	9.9%	0.79	19	9	23	39.1	41.3	4.2%	4.2%	4.2%	4.2%	37.5%	29.5
Eric Bledsoe	PHX	32	30	4.4%	0.63	19	7	21	33.3	33.3	10.0%	20.0%	10.0%	0.0%	33.3%	10.1
Dwight Powell	DAL	60	38	9.5%	0.50	19	7	35	20.0	20.0	5.3%	2.6%	5.3%	0.0%	23.7%	3.5
Devin Harris	DAL	59	17	3.9%	1.06	18	5	9	55.6	55.6	23.5%	23.5%	5.9%	0.0%	52.9%	77.2
Nikola Vucevic	ORL	60	18	1.6%	1.00	18	9	17	52.9	52.9	0.0%	5.6%	0.0%	0.0%	50.0%	66.5
Lance Thomas	NYK	59	28	5.7%	0.64	18	5	20	25.0	30.0	14.3%	14.3%	10.7%	0.0%	32.1%	11.5
Tony Snell	CHI	60	12	3.1%	1.42	17	6	12	50.0	70.8	0.0%	0.0%	0.0%	0.0%	50.0%	98.2
Meyers Leonard	POR	61	13	2.4%	1.31	17	7	12	58.3	70.8	0.0%	7.7%	0.0%	0.0%	53.8%	96.5
Markieff Morris	WAS	23	15	5.3%	1.13	17	7	14	50.0	53.6	6.7%	0.0%	6.7%	0.0%	53.3%	86.0
Maurice Williams	CLE	37	16	4.4%	1.06	17	8	15	53.3	56.7	0.0%	6.3%	0.0%	0.0%	50.0%	78.9
Blake Griffin	LAC	30	17	2.4%	1.00	17	8	15	53.3	56.7	0.0%	11.8%	0.0%	0.0%	47.1%	66.5
Serge Ibaka	OKC	74	21	2.1%	0.76	16	6	19	31.6	42.1	0.0%	9.5%	0.0%	0.0%	28.6%	22.8
Andrew Nicholson	ORL	45	10	2.9%	1.50	15	6	9	66.7	83.3	0.0%	10.0%	0.0%	0.0%	60.0%	99.1
Derrick Rose	CHI	63	17	1.4%	0.88	15	6	15	40.0	43.3	11.8%	0.0%	5.9%	0.0%	47.1%	44.3
Raymond Felton	DAL	74	19	2.4%	0.79	15	6	19	31.6	39.5	0.0%	0.0%	0.0%	0.0%	31.6%	28.5
Evan Turner	BOS	76	20	2.2%	0.75	15	6	17	35.3	35.3	10.0%	10.0%	10.0%	5.0%	35.0%	20.4
Steve Blake	DET	52	11	3.8%	1.27	14	5	10	50.0	70.0	0.0%	9.1%	0.0%	0.0%	45.5%	96.0
Andrea Bargnani	BKN	45	16	4.9%	0.88	14	4	13	30.8	30.8	18.8%	0.0%	18.8%	0.0%	43.8%	42.7
