"","group_set","group_value","fgm","fga","fg_pct","fg3m","fg3a","fg3_pct","efg_pct","blka","pct_ast_2pm","pct_uast_2pm","pct_ast_3pm","pct_uast_3pm","pct_ast_fgm","pct_uast_fgm","cfid","cfparams","team_id"
"1","Shot Distance (5ft)","Less Than 5 ft.","1378","2343","0.588","0","0","0","0.588","284","0.567","0.433","0","0","0.567","0.433","171","Less Than 5 ft.",1610612737
"2","Shot Distance (5ft)","5-9 ft.","273","658","0.415","0","0","0","0.415","66","0.443","0.557","0","0","0.443","0.557","171","5-9 ft.",1610612737
"3","Shot Distance (5ft)","10-14 ft.","161","409","0.394","0","0","0","0.394","19","0.571","0.429","0","0","0.571","0.429","171","10-14 ft.",1610612737
"4","Shot Distance (5ft)","15-19 ft.","386","889","0.434","0","0","0","0.434","11","0.728","0.272","0","0","0.728","0.272","171","15-19 ft.",1610612737
"5","Shot Distance (5ft)","20-24 ft.","591","1442","0.41","486","1194","0.407","0.578","13","0.81","0.19","0.938","0.062","0.915","0.085","171","20-24 ft.",1610612737
"6","Shot Distance (5ft)","25-29 ft.","331","940","0.352","331","940","0.352","0.528","10","0","0","0.888","0.112","0.888","0.112","171","25-29 ft.",1610612737
"7","Shot Distance (5ft)","30-34 ft.","1","8","0.125","1","8","0.125","0.188","0","0","0","1","0","1","0","171","30-34 ft.",1610612737
"8","Shot Distance (5ft)","35-39 ft.","0","6","0","0","6","0","0","1","0","0","0","0","0","0","171","35-39 ft.",1610612737
"9","Shot Distance (5ft)","40+ ft.","0","4","0","0","4","0","0","0","0","0","0","0","0","0","171","40+ ft.",1610612737
"10","Shot Distance (5ft)","Less Than 5 ft.","1403","2414","0.581","0","0","0","0.581","330","0.552","0.448","0","0","0.552","0.448","171","Less Than 5 ft.",1610612738
"11","Shot Distance (5ft)","5-9 ft.","248","641","0.387","0","0","0","0.387","47","0.468","0.532","0","0","0.468","0.532","171","5-9 ft.",1610612738
"12","Shot Distance (5ft)","10-14 ft.","223","548","0.407","0","0","0","0.407","22","0.435","0.565","0","0","0.435","0.565","171","10-14 ft.",1610612738
"13","Shot Distance (5ft)","15-19 ft.","503","1213","0.415","0","0","0","0.415","13","0.646","0.354","0","0","0.646","0.354","171","15-19 ft.",1610612738
"14","Shot Distance (5ft)","20-24 ft.","503","1377","0.365","347","1003","0.346","0.491","10","0.756","0.244","0.916","0.084","0.867","0.133","171","20-24 ft.",1610612738
"15","Shot Distance (5ft)","25-29 ft.","312","987","0.316","312","987","0.316","0.474","8","0","0","0.837","0.163","0.837","0.163","171","25-29 ft.",1610612738
"16","Shot Distance (5ft)","30-34 ft.","1","7","0.143","1","7","0.143","0.214","1","0","0","0","1","0","1","171","30-34 ft.",1610612738
"17","Shot Distance (5ft)","35-39 ft.","0","5","0","0","5","0","0","0","0","0","0","0","0","0","171","35-39 ft.",1610612738
"18","Shot Distance (5ft)","40+ ft.","0","17","0","0","17","0","0","0","0","0","0","0","0","0","171","40+ ft.",1610612738
"19","Shot Distance (5ft)","Less Than 5 ft.","1400","2315","0.605","0","0","0","0.605","263","0.556","0.444","0","0","0.556","0.444","171","Less Than 5 ft.",1610612739
"20","Shot Distance (5ft)","5-9 ft.","264","719","0.367","0","0","0","0.367","66","0.492","0.508","0","0","0.492","0.508","171","5-9 ft.",1610612739
"21","Shot Distance (5ft)","10-14 ft.","183","508","0.36","0","0","0","0.36","20","0.372","0.628","0","0","0.372","0.628","171","10-14 ft.",1610612739
"22","Shot Distance (5ft)","15-19 ft.","326","704","0.463","0","0","0","0.463","6","0.417","0.583","0","0","0.417","0.583","171","15-19 ft.",1610612739
"23","Shot Distance (5ft)","20-24 ft.","495","1312","0.377","405","1072","0.378","0.532","9","0.433","0.567","0.837","0.163","0.764","0.236","171","20-24 ft.",1610612739
"24","Shot Distance (5ft)","25-29 ft.","414","1143","0.362","414","1143","0.362","0.543","4","0","0","0.768","0.232","0.768","0.232","171","25-29 ft.",1610612739
"25","Shot Distance (5ft)","30-34 ft.","4","17","0.235","4","17","0.235","0.353","0","0","0","1","0","1","0","171","30-34 ft.",1610612739
"26","Shot Distance (5ft)","35-39 ft.","0","8","0","0","8","0","0","0","0","0","0","0","0","0","171","35-39 ft.",1610612739
"27","Shot Distance (5ft)","40+ ft.","2","12","0.167","2","12","0.167","0.25","0","0","0","1","0","1","0","171","40+ ft.",1610612739
"28","Shot Distance (5ft)","Less Than 5 ft.","1556","2778","0.56","0","0","0","0.56","371","0.497","0.503","0","0","0.497","0.503","171","Less Than 5 ft.",1610612740
"29","Shot Distance (5ft)","5-9 ft.","238","619","0.384","0","0","0","0.384","58","0.408","0.592","0","0","0.408","0.592","171","5-9 ft.",1610612740
"30","Shot Distance (5ft)","10-14 ft.","205","499","0.411","0","0","0","0.411","15","0.41","0.59","0","0","0.41","0.59","171","10-14 ft.",1610612740
"31","Shot Distance (5ft)","15-19 ft.","384","977","0.393","0","0","0","0.393","9","0.656","0.344","0","0","0.656","0.344","171","15-19 ft.",1610612740
"32","Shot Distance (5ft)","20-24 ft.","437","1081","0.404","298","742","0.402","0.542","15","0.626","0.374","0.883","0.117","0.801","0.199","171","20-24 ft.",1610612740
"33","Shot Distance (5ft)","25-29 ft.","284","806","0.352","284","806","0.352","0.529","7","0","0","0.866","0.134","0.866","0.134","171","25-29 ft.",1610612740
"34","Shot Distance (5ft)","30-34 ft.","2","7","0.286","2","7","0.286","0.429","0","0","0","1","0","1","0","171","30-34 ft.",1610612740
"35","Shot Distance (5ft)","35-39 ft.","1","5","0.2","1","5","0.2","0.3","0","0","0","1","0","1","0","171","35-39 ft.",1610612740
"36","Shot Distance (5ft)","40+ ft.","0","21","0","0","21","0","0","0","0","0","0","0","0","0","171","40+ ft.",1610612740
"37","Shot Distance (5ft)","Less Than 5 ft.","1387","2507","0.553","0","0","0","0.553","303","0.494","0.506","0","0","0.494","0.506","171","Less Than 5 ft.",1610612741
"38","Shot Distance (5ft)","5-9 ft.","271","673","0.403","0","0","0","0.403","65","0.384","0.616","0","0","0.384","0.616","171","5-9 ft.",1610612741
"39","Shot Distance (5ft)","10-14 ft.","194","523","0.371","0","0","0","0.371","26","0.469","0.531","0","0","0.469","0.531","171","10-14 ft.",1610612741
"40","Shot Distance (5ft)","15-19 ft.","362","918","0.394","0","0","0","0.394","13","0.713","0.287","0","0","0.713","0.287","171","15-19 ft.",1610612741
"41","Shot Distance (5ft)","20-24 ft.","477","1264","0.377","335","913","0.367","0.51","20","0.704","0.296","0.884","0.116","0.83","0.17","171","20-24 ft.",1610612741
"42","Shot Distance (5ft)","25-29 ft.","308","875","0.352","308","875","0.352","0.528","16","0","0","0.802","0.198","0.802","0.198","171","25-29 ft.",1610612741
"43","Shot Distance (5ft)","30-34 ft.","0","6","0","0","6","0","0","0","0","0","0","0","0","0","171","30-34 ft.",1610612741
"44","Shot Distance (5ft)","35-39 ft.","0","2","0","0","2","0","0","0","0","0","0","0","0","0","171","35-39 ft.",1610612741
"45","Shot Distance (5ft)","40+ ft.","2","29","0.069","2","29","0.069","0.103","0","0","0","0","1","0","1","171","40+ ft.",1610612741
"46","Shot Distance (5ft)","Less Than 5 ft.","1470","2402","0.612","0","0","0","0.612","235","0.516","0.484","0","0","0.516","0.484","171","Less Than 5 ft.",1610612742
"47","Shot Distance (5ft)","5-9 ft.","242","613","0.395","0","0","0","0.395","52","0.236","0.764","0","0","0.236","0.764","171","5-9 ft.",1610612742
"48","Shot Distance (5ft)","10-14 ft.","203","482","0.421","0","0","0","0.421","7","0.345","0.655","0","0","0.345","0.655","171","10-14 ft.",1610612742
"49","Shot Distance (5ft)","15-19 ft.","457","1074","0.426","0","0","0","0.426","12","0.562","0.438","0","0","0.562","0.438","171","15-19 ft.",1610612742
"50","Shot Distance (5ft)","20-24 ft.","616","1625","0.379","465","1242","0.374","0.522","4","0.497","0.503","0.901","0.099","0.802","0.198","171","20-24 ft.",1610612742
"51","Shot Distance (5ft)","25-29 ft.","266","823","0.323","266","823","0.323","0.485","4","0","0","0.789","0.211","0.789","0.211","171","25-29 ft.",1610612742
"52","Shot Distance (5ft)","30-34 ft.","0","4","0","0","4","0","0","0","0","0","0","0","0","0","171","30-34 ft.",1610612742
"53","Shot Distance (5ft)","35-39 ft.","0","1","0","0","1","0","0","0","0","0","0","0","0","0","171","35-39 ft.",1610612742
"54","Shot Distance (5ft)","40+ ft.","1","12","0.083","1","12","0.083","0.125","0","0","0","0","1","0","1","171","40+ ft.",1610612742
"55","Shot Distance (5ft)","Less Than 5 ft.","1512","2638","0.573","0","0","0","0.573","348","0.524","0.476","0","0","0.524","0.476","171","Less Than 5 ft.",1610612743
"56","Shot Distance (5ft)","5-9 ft.","262","762","0.344","0","0","0","0.344","89","0.508","0.492","0","0","0.508","0.492","171","5-9 ft.",1610612743
"57","Shot Distance (5ft)","10-14 ft.","185","462","0.4","0","0","0","0.4","17","0.389","0.611","0","0","0.389","0.611","171","10-14 ft.",1610612743
"58","Shot Distance (5ft)","15-19 ft.","368","959","0.384","0","0","0","0.384","16","0.489","0.511","0","0","0.489","0.511","171","15-19 ft.",1610612743
"59","Shot Distance (5ft)","20-24 ft.","448","1286","0.348","336","981","0.343","0.479","21","0.509","0.491","0.848","0.152","0.763","0.237","171","20-24 ft.",1610612743
"60","Shot Distance (5ft)","25-29 ft.","319","1011","0.316","319","1011","0.316","0.473","13","0","0","0.834","0.166","0.834","0.166","171","25-29 ft.",1610612743
"61","Shot Distance (5ft)","30-34 ft.","3","9","0.333","3","9","0.333","0.5","0","0","0","0.667","0.333","0.667","0.333","171","30-34 ft.",1610612743
"62","Shot Distance (5ft)","35-39 ft.","1","6","0.167","1","6","0.167","0.25","0","0","0","1","0","1","0","171","35-39 ft.",1610612743
"63","Shot Distance (5ft)","40+ ft.","1","25","0.04","1","25","0.04","0.06","0","0","0","0","1","0","1","171","40+ ft.",1610612743
"64","Shot Distance (5ft)","Less Than 5 ft.","1490","2368","0.629","0","0","0","0.629","221","0.63","0.37","0","0","0.63","0.37","171","Less Than 5 ft.",1610612744
"65","Shot Distance (5ft)","5-9 ft.","272","709","0.384","0","0","0","0.384","38","0.555","0.445","0","0","0.555","0.445","171","5-9 ft.",1610612744
"66","Shot Distance (5ft)","10-14 ft.","268","607","0.442","0","0","0","0.442","13","0.418","0.582","0","0","0.418","0.582","171","10-14 ft.",1610612744
"67","Shot Distance (5ft)","15-19 ft.","392","935","0.419","0","0","0","0.419","5","0.64","0.36","0","0","0.64","0.36","171","15-19 ft.",1610612744
"68","Shot Distance (5ft)","20-24 ft.","476","1146","0.415","371","845","0.439","0.577","7","0.667","0.333","0.892","0.108","0.842","0.158","171","20-24 ft.",1610612744
"69","Shot Distance (5ft)","25-29 ft.","507","1330","0.381","507","1330","0.381","0.572","8","0","0","0.777","0.223","0.777","0.223","171","25-29 ft.",1610612744
