"","game_id","player_id","team_id","team_name","period","shot_distance","loc_x","loc_y"
"82","0041400226","1713","1610612763","Memphis Grizzlies","4",0,0.1,5.95
"83","0041400226","1713","1610612763","Memphis Grizzlies","4",25,-14.9,25.55
"84","0041400222","201144","1610612763","Memphis Grizzlies","1",25,15.9,25.75
"85","0041400222","201144","1610612763","Memphis Grizzlies","1",11,9.1,12.45
"86","0041400222","201144","1610612763","Memphis Grizzlies","1",16,-9.2,18.75
"87","0041400222","201144","1610612763","Memphis Grizzlies","1",15,8.9,17.85
"88","0041400222","201144","1610612763","Memphis Grizzlies","2",26,11.9,29.05
"89","0041400222","201144","1610612763","Memphis Grizzlies","2",15,-0.5,20.55
"90","0041400222","201144","1610612763","Memphis Grizzlies","2",12,0.9,17.65
"91","0041400222","201144","1610612763","Memphis Grizzlies","2",25,21.7,18.95
"92","0041400222","201144","1610612763","Memphis Grizzlies","3",24,-1.5,30.15
"93","0041400222","201144","1610612763","Memphis Grizzlies","3",26,-5.9,30.75
"94","0041400222","201144","1610612763","Memphis Grizzlies","4",15,0.2,20.95
"95","0041400222","201144","1610612763","Memphis Grizzlies","4",25,12.5,27.25
"96","0041400223","201144","1610612763","Memphis Grizzlies","1",1,-1.1,5.35
"97","0041400223","201144","1610612763","Memphis Grizzlies","1",24,1,29.35
"98","0041400223","201144","1610612763","Memphis Grizzlies","1",7,2.1,12.35
"99","0041400223","201144","1610612763","Memphis Grizzlies","2",24,21.8,16.25
"100","0041400223","201144","1610612763","Memphis Grizzlies","2",25,21.5,19.25
"101","0041400223","201144","1610612763","Memphis Grizzlies","2",2,-2.9,5.35
"102","0041400223","201144","1610612763","Memphis Grizzlies","3",25,12.7,27.45
"103","0041400223","201144","1610612763","Memphis Grizzlies","4",24,19.2,20.35
"104","0041400223","201144","1610612763","Memphis Grizzlies","4",2,-2.7,6.35
"105","0041400223","201144","1610612763","Memphis Grizzlies","4",24,21.2,17.15
"106","0041400224","201144","1610612763","Memphis Grizzlies","1",24,18.2,22.25
"107","0041400224","201144","1610612763","Memphis Grizzlies","1",5,2.3,9.95
"108","0041400224","201144","1610612763","Memphis Grizzlies","1",24,-10,27.25
"109","0041400224","201144","1610612763","Memphis Grizzlies","2",2,2,5.65
"110","0041400224","201144","1610612763","Memphis Grizzlies","2",2,-1.9,5.95
"111","0041400224","201144","1610612763","Memphis Grizzlies","2",2,2.1,5.85
"112","0041400224","201144","1610612763","Memphis Grizzlies","2",1,-1,5.35
"113","0041400224","201144","1610612763","Memphis Grizzlies","2",25,17.7,23.55
