"","grid_type","game_id","game_event_id","player_id","player_name","team_id","team_name","period","minutes_remaining","seconds_remaining","event_type","action_type","shot_type","shot_zone_basic","shot_zone_area","shot_zone_range","shot_distance","loc_x","loc_y","shot_attempted_flag","shot_made_flag","shot_made_numeric","shot_value"
"26","Shot Chart Detail",21400038,94,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,0,48,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",26,-7.6,30.95,1,"missed",0,3
"27","Shot Chart Detail",21400038,212,201939,"Stephen Curry",1610612744,"Golden State Warriors",2,4,12,"Made Shot","Turnaround Bank shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",6,4.8,9.75,1,"made",1,2
"28","Shot Chart Detail",21400038,253,201939,"Stephen Curry",1610612744,"Golden State Warriors",2,1,3,"Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.",14,14,7.85,1,"missed",0,2
"29","Shot Chart Detail",21400038,290,201939,"Stephen Curry",1610612744,"Golden State Warriors",3,11,29,"Missed Shot","Step Back Jump shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",24,17.7,22.55,1,"missed",0,3
"30","Shot Chart Detail",21400038,321,201939,"Stephen Curry",1610612744,"Golden State Warriors",3,7,46,"Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,1.8,7.45,1,"missed",0,2
"31","Shot Chart Detail",21400038,330,201939,"Stephen Curry",1610612744,"Golden State Warriors",3,6,36,"Made Shot","Driving Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,1.5,6.15,1,"made",1,2
"32","Shot Chart Detail",21400038,341,201939,"Stephen Curry",1610612744,"Golden State Warriors",3,5,8,"Made Shot","Step Back Jump shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",27,15.9,27.65,1,"made",1,3
"33","Shot Chart Detail",21400038,371,201939,"Stephen Curry",1610612744,"Golden State Warriors",3,3,27,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",26,9.1,30.45,1,"missed",0,3
"34","Shot Chart Detail",21400038,453,201939,"Stephen Curry",1610612744,"Golden State Warriors",4,7,2,"Made Shot","Floating Jump shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",3,0,8.95,1,"made",1,2
"35","Shot Chart Detail",21400038,459,201939,"Stephen Curry",1610612744,"Golden State Warriors",4,6,28,"Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",26,14.4,28.05,1,"missed",0,3
"36","Shot Chart Detail",21400038,522,201939,"Stephen Curry",1610612744,"Golden State Warriors",4,2,15,"Made Shot","Turnaround Fadeaway shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.",12,12.1,6.65,1,"made",1,2
"37","Shot Chart Detail",21400042,8,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,10,56,"Missed Shot","Jump Bank Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.",18,15.7,14.55,1,"missed",0,2
"38","Shot Chart Detail",21400042,38,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,9,23,"Made Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",24,-5.1,29.45,1,"made",1,3
"39","Shot Chart Detail",21400042,47,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,8,11,"Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-1.5,5.55,1,"made",1,2
"40","Shot Chart Detail",21400042,50,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,7,44,"Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.",14,2.1,20.05,1,"made",1,2
"41","Shot Chart Detail",21400042,75,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,5,53,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",26,12.4,28.75,1,"missed",0,3
"42","Shot Chart Detail",21400042,94,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,4,10,"Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",20,-10.3,22.55,1,"missed",0,2
"43","Shot Chart Detail",21400042,214,201939,"Stephen Curry",1610612744,"Golden State Warriors",2,4,57,"Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.",21,-1.6,26.35,1,"made",1,2
"44","Shot Chart Detail",21400042,216,201939,"Stephen Curry",1610612744,"Golden State Warriors",2,4,20,"Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",19,-8.2,23.15,1,"missed",0,2
"45","Shot Chart Detail",21400042,240,201939,"Stephen Curry",1610612744,"Golden State Warriors",2,2,47,"Missed Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-1.5,5.05,1,"missed",0,2
"46","Shot Chart Detail",21400042,280,201939,"Stephen Curry",1610612744,"Golden State Warriors",2,0,20,"Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",19,-19.4,9.35,1,"missed",0,2
"47","Shot Chart Detail",21400042,292,201939,"Stephen Curry",1610612744,"Golden State Warriors",3,10,53,"Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0.9,5.25,1,"missed",0,2
"48","Shot Chart Detail",21400042,298,201939,"Stephen Curry",1610612744,"Golden State Warriors",3,10,12,"Made Shot","Running Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",18,-14.2,17.35,1,"made",1,2
"49","Shot Chart Detail",21400042,313,201939,"Stephen Curry",1610612744,"Golden State Warriors",3,8,24,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",24,-10.9,27.25,1,"missed",0,3
"50","Shot Chart Detail",21400042,331,201939,"Stephen Curry",1610612744,"Golden State Warriors",3,6,58,"Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.",20,8.3,24.45,1,"made",1,2
"51","Shot Chart Detail",21400042,353,201939,"Stephen Curry",1610612744,"Golden State Warriors",3,4,49,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",24,-10.9,27.15,1,"missed",0,3
"52","Shot Chart Detail",21400042,357,201939,"Stephen Curry",1610612744,"Golden State Warriors",3,4,19,"Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.",23,-23.2,5.85,1,"missed",0,3
"53","Shot Chart Detail",21400042,464,201939,"Stephen Curry",1610612744,"Golden State Warriors",4,3,53,"Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",4,4.8,5.35,1,"missed",0,2
"54","Shot Chart Detail",21400042,478,201939,"Stephen Curry",1610612744,"Golden State Warriors",4,2,16,"Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.",20,19,13.55,1,"missed",0,2
"55","Shot Chart Detail",21400068,13,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,10,28,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",24,5.9,29.35,1,"missed",0,3
"56","Shot Chart Detail",21400068,34,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,7,43,"Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",3,-1.9,8.55,1,"missed",0,2
"57","Shot Chart Detail",21400068,51,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,6,19,"Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",24,-19.9,20.05,1,"made",1,3
"58","Shot Chart Detail",21400068,53,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,6,11,"Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,1.8,6.45,1,"made",1,2
"59","Shot Chart Detail",21400068,64,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,4,26,"Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-0.2,5.65,1,"made",1,2
"60","Shot Chart Detail",21400068,67,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,3,50,"Missed Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",6,1.3,11.95,1,"missed",0,2
