"","game_id","player_id","player_name","team_id","team_name","period","shot_distance","loc_x","loc_y","shot_made_numeric"
"65","0041400143","201583","Ryan Anderson","1610612740","New Orleans Pelicans","3",20,-20.9,6.35,0
"66","0041400143","201583","Ryan Anderson","1610612740","New Orleans Pelicans","4",20,-19.8,9.95,1
"67","0041400143","201583","Ryan Anderson","1610612740","New Orleans Pelicans","4",16,-16.3,7.25,1
"68","0041400143","201583","Ryan Anderson","1610612740","New Orleans Pelicans","4",16,-16.4,6.75,1
"69","0041400143","201583","Ryan Anderson","1610612740","New Orleans Pelicans","4",1,0.7,6.45,0
"70","0041400143","201583","Ryan Anderson","1610612740","New Orleans Pelicans","5",27,18.4,25.05,1
"71","0041400144","201583","Ryan Anderson","1610612740","New Orleans Pelicans","1",5,5.1,6.35,0
"72","0041400144","201583","Ryan Anderson","1610612740","New Orleans Pelicans","1",25,-2.3,30.65,0
"73","0041400144","201583","Ryan Anderson","1610612740","New Orleans Pelicans","2",0,0,5.85,0
"74","0041400144","201583","Ryan Anderson","1610612740","New Orleans Pelicans","2",3,3.1,5.25,1
"75","0041400144","201583","Ryan Anderson","1610612740","New Orleans Pelicans","2",25,9.5,28.85,1
"76","0041400144","201583","Ryan Anderson","1610612740","New Orleans Pelicans","2",1,-0.7,6.45,0
"77","0041400144","201583","Ryan Anderson","1610612740","New Orleans Pelicans","3",25,2,30.75,0
"78","0041400144","201583","Ryan Anderson","1610612740","New Orleans Pelicans","3",25,-10.6,28.35,0
"79","0041400144","201583","Ryan Anderson","1610612740","New Orleans Pelicans","3",1,-1.5,5.35,0
"80","0041400144","201583","Ryan Anderson","1610612740","New Orleans Pelicans","4",26,16.3,25.85,1
"81","0041400144","201583","Ryan Anderson","1610612740","New Orleans Pelicans","4",16,-16.1,8.05,1
"82","0041400311","2772","Trevor Ariza","1610612745","Houston Rockets","1",1,-1,6.35,1
"83","0041400311","2772","Trevor Ariza","1610612745","Houston Rockets","1",23,-23.7,5.25,0
"84","0041400311","2772","Trevor Ariza","1610612745","Houston Rockets","1",5,0.1,10.75,1
"85","0041400311","2772","Trevor Ariza","1610612745","Houston Rockets","1",23,-23.1,4.65,1
"86","0041400311","2772","Trevor Ariza","1610612745","Houston Rockets","2",26,-15.2,26.35,1
"87","0041400311","2772","Trevor Ariza","1610612745","Houston Rockets","2",2,-1.3,7.75,1
"88","0041400311","2772","Trevor Ariza","1610612745","Houston Rockets","2",1,-1.8,5.95,0
"89","0041400311","2772","Trevor Ariza","1610612745","Houston Rockets","3",11,5.3,15.95,0
"90","0041400311","2772","Trevor Ariza","1610612745","Houston Rockets","3",23,23.7,7.45,1
"91","0041400311","2772","Trevor Ariza","1610612745","Houston Rockets","4",23,-23.4,5.55,1
"92","0041400312","2772","Trevor Ariza","1610612745","Houston Rockets","1",26,-12.2,28.55,0
"93","0041400312","2772","Trevor Ariza","1610612745","Houston Rockets","1",4,3.2,8.25,0
"94","0041400312","2772","Trevor Ariza","1610612745","Houston Rockets","2",1,1,6.95,1
"95","0041400312","2772","Trevor Ariza","1610612745","Houston Rockets","2",18,17.1,11.95,0
"96","0041400312","2772","Trevor Ariza","1610612745","Houston Rockets","2",23,-23.7,5.05,0
"97","0041400312","2772","Trevor Ariza","1610612745","Houston Rockets","3",26,12.4,28.35,1
"98","0041400312","2772","Trevor Ariza","1610612745","Houston Rockets","4",26,8.8,30.15,0
"99","0041400312","2772","Trevor Ariza","1610612745","Houston Rockets","4",0,0,5.35,1
"100","0041400313","2772","Trevor Ariza","1610612745","Houston Rockets","1",24,-17.2,22.55,1
"101","0041400313","2772","Trevor Ariza","1610612745","Houston Rockets","1",2,-1.9,6.15,0
"102","0041400313","2772","Trevor Ariza","1610612745","Houston Rockets","1",23,23.3,8.65,0
"103","0041400313","2772","Trevor Ariza","1610612745","Houston Rockets","2",1,0.7,6.45,1
"104","0041400313","2772","Trevor Ariza","1610612745","Houston Rockets","2",25,7.3,29.35,0
"105","0041400313","2772","Trevor Ariza","1610612745","Houston Rockets","3",25,20.4,20.15,0
"106","0041400313","2772","Trevor Ariza","1610612745","Houston Rockets","4",0,0,5.35,1
