"","person_id","display_last_comma_first","display_first_last","rosterstatus","from_year","to_year","playercode","team_id","team_city","team_name","team_abbreviation","team_code","games_played_flag","name"
"47",202687,"Biyombo, Bismack","Bismack Biyombo",TRUE,2011,2015,"bismack_biyombo",1610612761,"Toronto","Raptors","TOR","raptors","Y","Bismack Biyombo"
"48",202357,"Bjelica, Nemanja","Nemanja Bjelica",TRUE,2015,2015,"nemanja_bjelica",1610612750,"Minnesota","Timberwolves","MIN","timberwolves","Y","Nemanja Bjelica"
"49",204028,"Black, Tarik","Tarik Black",TRUE,2014,2015,"tarik_black",1610612747,"Los Angeles","Lakers","LAL","lakers","Y","Tarik Black"
"50",201971,"Blair, DeJuan","DeJuan Blair",FALSE,2009,2015,"dejuan_blair",0,"","","","","Y","DeJuan Blair"
"51",2581,"Blake, Steve","Steve Blake",TRUE,2003,2015,"steve_blake",1610612765,"Detroit","Pistons","DET","pistons","Y","Steve Blake"
"52",202339,"Bledsoe, Eric","Eric Bledsoe",TRUE,2010,2015,"eric_bledsoe",1610612756,"Phoenix","Suns","PHX","suns","Y","Eric Bledsoe"
"53",202711,"Bogdanovic, Bojan","Bojan Bogdanovic",TRUE,2014,2015,"bojan_bogdanovic",1610612751,"Brooklyn","Nets","BKN","nets","Y","Bojan Bogdanovic"
"54",101106,"Bogut, Andrew","Andrew Bogut",TRUE,2005,2015,"andrew_bogut",1610612744,"Golden State","Warriors","GSW","warriors","Y","Andrew Bogut"
"55",2588,"Bonner, Matt","Matt Bonner",TRUE,2004,2015,"matt_bonner",1610612759,"San Antonio","Spurs","SAS","spurs","Y","Matt Bonner"
"56",1626164,"Booker, Devin","Devin Booker",TRUE,2015,2015,"devin_booker",1610612756,"Phoenix","Suns","PHX","suns","Y","Devin Booker"
"57",202344,"Booker, Trevor","Trevor Booker",TRUE,2010,2015,"trevor_booker",1610612762,"Utah","Jazz","UTA","jazz","Y","Trevor Booker"
"58",2547,"Bosh, Chris","Chris Bosh",TRUE,2003,2015,"chris_bosh",1610612748,"Miami","Heat","MIA","heat","Y","Chris Bosh"
"59",202340,"Bradley, Avery","Avery Bradley",TRUE,2010,2015,"avery_bradley",1610612738,"Boston","Celtics","BOS","celtics","Y","Avery Bradley"
"60",1882,"Brand, Elton","Elton Brand",TRUE,1999,2015,"elton_brand",1610612755,"Philadelphia","76ers","PHI","sixers","Y","Elton Brand"
