"","group_set","player1","player2","player3","player4","player5","group_name","team_id","team_abbreviation","gp","w","l","w_pct","min","off_rating","def_rating","net_rating","ast_pct","ast_to","ast_ratio","oreb_pct","dreb_pct","reb_pct","tm_tov_pct","efg_pct","ts_pct","pace","pie","group_quantity"
"273","Lineups","2594 "," 200794 "," 201952",NA,NA,"Korver,Kyle - Millsap,Paul - Teague,Jeff","1610612737","ATL","64","48","16","0.75","1410","112","101.2","10.9","0.685","2.01","20.9","0.218","0.737","0.486","0.143","0.559","0.592","97.24","0.569",3
"274","Lineups","2772 "," 201935 "," 202700",NA,NA,"Ariza,Trevor - Harden,James - Motiejunas,Donatas","1610612745","HOU","70","48","22","0.686","1355","105.7","101","4.8","0.603","1.34","17","0.277","0.735","0.504","0.171","0.519","0.557","97.86","0.507",3
"275","Lineups","203506 "," 203901 "," 202696",NA,NA,"Oladipo,Victor - Payton,Elfrid - Vucevic,Nikola","1610612753","ORL","60","18","42","0.3","1343","103.2","106.9","-3.8","0.577","1.68","17.6","0.247","0.76","0.493","0.142","0.5","0.53","96.8","0.471",3
"276","Lineups","203084 "," 203110 "," 202691",NA,NA,"Barnes,Harrison - Green,Draymond - Thompson,Klay","1610612744","GSW","74","61","13","0.824","1342","113.4","95.4","18.1","0.655","2.04","20.5","0.224","0.761","0.505","0.139","0.566","0.592","101.8","0.595",3
"277","Lineups","201163 "," 202702 "," 201951",NA,NA,"Chandler,Wilson - Faried,Kenneth - Lawson,Ty","1610612743","DEN","66","27","39","0.409","1338","107.6","107.8","-0.3","0.583","1.68","17.3","0.276","0.783","0.519","0.139","0.509","0.546","99.14","0.489",3
"278","Lineups","2440 "," 201933 "," 200755",NA,NA,"Barnes,Matt - Griffin,Blake - Redick,JJ","1610612746","LAC","60","42","18","0.7","1293","117.5","101","16.5","0.685","2.44","21.4","0.267","0.762","0.525","0.124","0.569","0.596","97.83","0.601",3
"279","Lineups","2772 "," 201976 "," 201935",NA,NA,"Ariza,Trevor - Beverley,Patrick - Harden,James","1610612745","HOU","55","35","20","0.636","1275","106.3","103.6","2.7","0.599","1.36","17","0.273","0.734","0.498","0.167","0.52","0.559","98.26","0.491",3
"280","Lineups","201143 "," 2594 "," 201952",NA,NA,"Horford,Al - Korver,Kyle - Teague,Jeff","1610612737","ATL","67","50","17","0.746","1272","111.8","100.2","11.6","0.711","2.12","21.8","0.215","0.728","0.484","0.144","0.56","0.592","96.56","0.574",3
"281","Lineups","1495 "," 202695 "," 2225",NA,NA,"Duncan,Tim - Leonard,Kawhi - Parker,Tony","1610612759","SAS","58","43","15","0.741","1261","108.6","98.2","10.5","0.62","1.98","19.2","0.209","0.778","0.503","0.13","0.528","0.567","96.12","0.562",3
"282","Lineups","202699 "," 203506 "," 202696",NA,NA,"Harris,Tobias - Oladipo,Victor - Vucevic,Nikola","1610612753","ORL","50","13","37","0.26","1258","99.9","108","-8.1","0.58","1.63","17.2","0.228","0.773","0.488","0.141","0.487","0.518","95.34","0.451",3
"283","Lineups","200746 "," 203081 "," 202083",NA,NA,"Aldridge,LaMarcus - Lillard,Damian - Matthews,Wesley","1610612757","POR","53","38","15","0.717","1243","108.5","98.9","9.6","0.551","1.68","16.4","0.264","0.762","0.518","0.131","0.506","0.549","97.42","0.557",3
"284","Lineups","201960 "," 2594 "," 200794",NA,NA,"Carroll,DeMarre - Korver,Kyle - Millsap,Paul","1610612737","ATL","62","48","14","0.774","1240","110.9","101.1","9.7","0.703","2.02","21.3","0.202","0.732","0.476","0.145","0.559","0.592","97.07","0.565",3
"285","Lineups","201143 "," 2594 "," 200794",NA,NA,"Horford,Al - Korver,Kyle - Millsap,Paul","1610612737","ATL","67","51","16","0.761","1231","110.9","103.2","7.7","0.717","2.04","21.9","0.207","0.729","0.478","0.148","0.56","0.593","96.54","0.555",3
"286","Lineups","201167 "," 201163 "," 201951",NA,NA,"Afflalo,Arron - Chandler,Wilson - Lawson,Ty","1610612743","DEN","50","19","31","0.38","1223","102","108.8","-6.8","0.58","1.52","16.6","0.283","0.763","0.515","0.148","0.482","0.519","97.97","0.454",3
"287","Lineups","201960 "," 2594 "," 201952",NA,NA,"Carroll,DeMarre - Korver,Kyle - Teague,Jeff","1610612737","ATL","62","47","15","0.758","1213","111.6","99.2","12.4","0.7","2.04","21.3","0.21","0.726","0.479","0.144","0.56","0.593","97.4","0.58",3
"288","Lineups","201587 "," 203081 "," 201577",NA,NA,"Batum,Nicolas - Lillard,Damian - Lopez,Robin","1610612757","POR","51","33","18","0.647","1200","107.3","103.4","3.8","0.558","1.73","16.9","0.246","0.762","0.516","0.13","0.506","0.547","95.86","0.529",3
