Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
Alexis Ajinca	NOP	52	59	18.3%	1.08	64	25	47	53.2	53.2	15.3%	8.5%	13.6%	3.4%	54.2%	28.4
Darrell Arthur	DEN	69	67	11.8%	0.96	64	28	57	49.1	49.1	9.0%	7.5%	9.0%	1.5%	47.8%	10.5
Quincy Acy	SAC	49	42	19.8%	1.50	63	23	33	69.7	69.7	26.2%	2.4%	26.2%	7.1%	73.8%	91.4
Chandler Parsons	DAL	61	45	5.6%	1.38	62	29	40	72.5	72.5	11.1%	4.4%	11.1%	4.4%	68.9%	77.8
Al Farouq Aminu	POR	76	42	5.1%	1.45	61	26	36	72.2	72.2	19.0%	4.8%	19.0%	9.5%	71.4%	86.3
Will Barton	DEN	77	44	3.8%	1.39	61	28	40	70.0	70.0	11.4%	2.3%	9.1%	4.5%	70.5%	78.7
Jeremy Lamb	CHA	61	45	7.9%	1.36	61	26	41	63.4	63.4	15.6%	2.2%	13.3%	8.9%	64.4%	75.1
Dirk Nowitzki	DAL	69	39	3.2%	1.54	60	27	35	77.1	77.1	7.7%	2.6%	7.7%	0.0%	76.9%	93.3
Carmelo Anthony	NYK	69	52	3.3%	1.15	60	25	45	55.6	55.6	11.5%	0.0%	13.5%	0.0%	59.6%	40.9
Luis Scola	TOR	72	55	8.1%	1.09	60	28	51	54.9	54.9	5.5%	3.6%	5.5%	1.8%	54.5%	30.3
Carl Landry	PHI	35	47	15.6%	1.26	59	25	38	65.8	65.8	12.8%	4.3%	14.9%	0.0%	66.0%	60.5
Trey Lyles	UTA	71	56	12.0%	1.05	59	25	44	56.8	56.8	12.5%	10.7%	12.5%	1.8%	53.6%	22.5
DAngelo Russell	LAL	73	42	3.8%	1.38	58	24	33	72.7	72.7	11.9%	9.5%	11.9%	0.0%	69.0%	78.1
Evan Fournier	ORL	73	44	4.2%	1.32	58	22	34	64.7	64.7	22.7%	9.1%	22.7%	9.1%	63.6%	69.3
Marvin Williams	CHA	74	50	6.3%	1.16	58	22	40	55.0	55.0	18.0%	6.0%	18.0%	4.0%	58.0%	42.1
Blake Griffin	LAC	30	35	5.0%	1.63	57	24	26	92.3	92.3	25.7%	5.7%	25.7%	5.7%	88.6%	96.8
Jeremy Lin	CHA	71	40	4.4%	1.42	57	22	32	68.8	68.8	25.0%	0.0%	25.0%	5.0%	72.5%	81.9
Devin Booker	PHX	69	41	4.1%	1.39	57	26	38	68.4	68.4	17.1%	2.4%	17.1%	12.2%	68.3%	78.9
TJ Warren	PHX	47	46	9.1%	1.24	57	28	44	63.6	63.6	2.2%	2.2%	2.2%	0.0%	63.0%	57.6
Cole Aldrich	LAC	51	58	20.9%	0.97	56	21	41	51.2	51.2	17.2%	12.1%	15.5%	0.0%	51.7%	11.1
Ramon Sessions	WAS	76	40	5.4%	1.38	55	22	34	64.7	64.7	22.5%	2.5%	22.5%	10.0%	67.5%	77.4
PJ Tucker	PHX	75	52	7.7%	1.06	55	21	37	56.8	56.8	19.2%	11.5%	21.2%	3.8%	55.8%	23.1
David Lee	DAL	18	39	24.4%	1.36	53	22	29	75.9	75.9	17.9%	10.3%	17.9%	2.6%	69.2%	75.4
Kelly Olynyk	BOS	63	45	7.1%	1.18	53	23	39	59.0	59.0	11.1%	4.4%	8.9%	2.2%	60.0%	44.4
Kevin Love	CLE	72	51	4.3%	1.04	53	17	37	45.9	45.9	21.6%	7.8%	21.6%	2.0%	52.9%	21.3
Tyler Zeller	BOS	54	53	15.1%	1.00	53	21	44	47.7	47.7	13.2%	3.8%	13.2%	0.0%	50.9%	13.4
Jonas Jerebko	BOS	70	41	12.0%	1.27	52	21	33	63.6	63.6	19.5%	4.9%	19.5%	4.9%	65.9%	62.6
David Lee	BOS	30	43	17.0%	1.21	52	18	31	58.1	58.1	18.6%	9.3%	18.6%	0.0%	60.5%	51.6
Alonzo Gee	NOP	70	43	12.7%	1.21	52	23	33	69.7	69.7	9.3%	16.3%	9.3%	2.3%	60.5%	51.6
JaKarr Sampson	PHI	47	48	16.1%	1.08	52	20	38	52.6	52.6	14.6%	8.3%	14.6%	2.1%	54.2%	27.6
Elfrid Payton	ORL	67	52	5.8%	1.00	52	25	46	54.3	54.3	11.5%	7.7%	11.5%	7.7%	50.0%	13.4
Dante Cunningham	NOP	71	45	11.1%	1.13	51	20	37	54.1	54.1	15.6%	2.2%	13.3%	0.0%	60.0%	36.5
Marreese Speights	GSW	65	56	10.7%	0.91	51	16	39	41.0	41.0	23.2%	7.1%	21.4%	0.0%	51.8%	7.0
Kentavious Caldwell-Pope	DET	71	32	2.9%	1.56	50	20	27	74.1	74.1	18.8%	3.1%	18.8%	6.3%	75.0%	93.8
Allen Crabbe	POR	75	33	4.5%	1.52	50	21	28	75.0	75.0	15.2%	6.1%	12.1%	6.1%	72.7%	92.1
Gerald Henderson	POR	67	34	5.6%	1.47	50	19	26	73.1	73.1	20.6%	0.0%	23.5%	0.0%	76.5%	89.1
Dewayne Dedmon	ORL	48	54	25.0%	0.93	50	19	44	43.2	43.2	18.5%	5.6%	16.7%	5.6%	46.3%	7.9
Evan Turner	BOS	76	34	3.7%	1.44	49	20	29	69.0	69.0	17.6%	2.9%	14.7%	5.9%	70.6%	85.7
Rajon Rondo	SAC	71	42	3.8%	1.14	48	24	37	64.9	64.9	0.0%	11.9%	0.0%	0.0%	57.1%	38.8
Jon Leuer	PHX	63	44	8.1%	1.09	48	21	38	55.3	55.3	9.1%	9.1%	9.1%	4.5%	52.3%	30.3
Spencer Hawes	CHA	50	49	14.0%	0.98	48	19	38	50.0	50.0	14.3%	10.2%	14.3%	2.0%	51.0%	12.3
George Hill	IND	69	29	3.4%	1.62	47	22	27	81.5	81.5	6.9%	3.4%	6.9%	3.4%	79.3%	96.2
Bradley Beal	WAS	51	31	3.4%	1.48	46	20	25	80.0	80.0	12.9%	6.5%	12.9%	0.0%	77.4%	90.1
Manu Ginobili	SAS	54	38	6.9%	1.21	46	21	33	63.6	63.6	7.9%	7.9%	7.9%	2.6%	60.5%	52.2
Kyle O'Quinn	NYK	57	43	13.4%	1.07	46	18	31	58.1	58.1	16.3%	11.6%	14.0%	0.0%	58.1%	25.4
Wesley Johnson	LAC	73	30	5.5%	1.50	45	22	26	84.6	84.6	10.0%	10.0%	10.0%	6.7%	73.3%	91.4
Russell Westbrook	OKC	76	36	1.8%	1.25	45	18	26	69.2	69.2	16.7%	13.9%	16.7%	2.8%	63.9%	59.6
James Harden	HOU	76	38	1.8%	1.18	45	17	31	54.8	54.8	15.8%	5.3%	13.2%	2.6%	57.9%	45.9
Boris Diaw	SAS	74	40	8.0%	1.13	45	20	35	57.1	57.1	10.0%	7.5%	10.0%	5.0%	55.0%	35.1
Bojan Bogdanovic	BKN	74	45	5.3%	1.00	45	19	37	51.4	51.4	8.9%	11.1%	6.7%	2.2%	48.9%	13.4
Kemba Walker	CHA	74	31	2.0%	1.42	44	17	24	70.8	70.8	16.1%	6.5%	16.1%	0.0%	71.0%	80.7
Jared Dudley	WAS	75	34	6.0%	1.29	44	19	27	70.4	70.4	14.7%	11.8%	14.7%	5.9%	64.7%	66.2
Trevor Ariza	HOU	75	34	3.5%	1.29	44	15	21	71.4	71.4	32.4%	14.7%	26.5%	8.8%	64.7%	66.2
Shane Larkin	BKN	72	36	5.8%	1.22	44	18	29	62.1	62.1	13.9%	5.6%	13.9%	0.0%	63.9%	54.3
Ersan Ilyasova	DET	52	41	6.7%	1.07	44	15	30	50.0	50.0	19.5%	9.8%	17.1%	2.4%	53.7%	26.0
Langston Galloway	NYK	77	32	5.0%	1.34	43	19	28	67.9	67.9	15.6%	0.0%	18.8%	6.3%	68.8%	72.8
Lance Thomas	NYK	59	42	8.6%	1.02	43	15	33	45.5	45.5	21.4%	9.5%	16.7%	9.5%	47.6%	19.0
